update,replay_size,qf1_loss,qf2_loss,policy_loss,alpha,alpha_loss,target_entropy_internal,target_entropy_paper,q_target_mean,q_target_std,policy_mean_abs,policy_log_std_mean,train_update
1,41965,0.6627895832061768,0.6090892553329468,-11.499332427978516,0.0034083689097315073,-22.297134399414062,-9.0,9.0,11.736483573913574,7.558373928070068,1.152311086654663,-0.7323783040046692,5123
2,41965,0.8318146467208862,1.4791728258132935,-12.328045845031738,0.003404962597414851,-21.25548553466797,-9.0,9.0,11.71857738494873,7.389912128448486,1.1629964113235474,-0.7248297929763794,5124
3,41965,0.4710676968097687,0.5010215640068054,-11.670050621032715,0.0034015595447272062,-17.467466354370117,-9.0,9.0,11.807042121887207,7.6411848068237305,1.2466963529586792,-0.7192133069038391,5125
4,41965,0.5841495394706726,0.6220343112945557,-10.840019226074219,0.003398159984499216,-13.684346199035645,-9.0,9.0,11.077886581420898,7.791013240814209,1.2529640197753906,-0.7334282994270325,5126
5,41965,0.3056104779243469,0.7457666397094727,-11.929441452026367,0.003394763683900237,-13.35708999633789,-9.0,9.0,12.309554100036621,7.601210594177246,1.2909400463104248,-0.7420743107795715,5127
6,41965,0.2691529393196106,0.6995140314102173,-12.29019546508789,0.003391370875760913,-10.53195858001709,-9.0,9.0,12.601710319519043,7.682085037231445,1.3011009693145752,-0.7553390860557556,5128
7,41965,0.4786035418510437,0.3242969810962677,-12.459192276000977,0.0033879813272506,-8.073440551757812,-9.0,9.0,12.298261642456055,7.565069198608398,1.3381998538970947,-0.7783212661743164,5129
8,41965,0.293049693107605,0.3562726378440857,-13.526336669921875,0.0033853943459689617,3.08199143409729,-9.0,9.0,13.12125301361084,8.074257850646973,1.476542353630066,-0.8150431513786316,5130
9,41965,0.2561843991279602,0.5046579837799072,-13.180667877197266,0.0033838176168501377,6.631059646606445,-9.0,9.0,13.038520812988281,7.420548915863037,1.524139642715454,-0.8069722056388855,5131
10,41965,0.28585001826286316,0.433765709400177,-12.49526309967041,0.0033830285537987947,5.909115314483643,-9.0,9.0,12.529052734375,7.423637866973877,1.5123192071914673,-0.8276575207710266,5132
11,41965,0.2713778018951416,0.27350741624832153,-12.463872909545898,0.0033828674349933863,12.205693244934082,-9.0,9.0,12.397546768188477,7.414841175079346,1.6063066720962524,-0.8551225662231445,5133
12,41965,0.20692938566207886,0.18450713157653809,-12.81998348236084,0.003383214119821787,11.02583122253418,-9.0,9.0,12.74378490447998,7.84412145614624,1.5766910314559937,-0.8500696420669556,5134
13,41965,0.22547155618667603,0.3083801865577698,-12.096545219421387,0.0033839805983006954,15.626655578613281,-9.0,9.0,12.190624237060547,8.030828475952148,1.6549524068832397,-0.867825984954834,5135
14,41965,0.23734885454177856,0.4155551493167877,-12.278156280517578,0.0033850972540676594,22.59577178955078,-9.0,9.0,12.424161911010742,7.71768045425415,1.722610354423523,-0.9041344523429871,5136
15,41965,0.21950460970401764,0.21335047483444214,-12.44264030456543,0.0033865084405988455,28.34246826171875,-9.0,9.0,12.459246635437012,7.9209818840026855,1.8005367517471313,-0.9240507483482361,5137
16,41965,0.17704321444034576,0.16368164122104645,-12.582253456115723,0.003388170385733247,30.159692764282227,-9.0,9.0,12.447732925415039,7.667139530181885,1.7928365468978882,-0.9381157159805298,5138
17,41965,0.21968956291675568,0.18915541470050812,-12.883925437927246,0.0033900467678904533,32.2408447265625,-9.0,9.0,12.679601669311523,7.326243877410889,1.8079500198364258,-0.9449281692504883,5139
18,41965,0.24861325323581696,0.2583600580692291,-11.834006309509277,0.0033921082504093647,41.48870849609375,-9.0,9.0,11.631037712097168,7.457850933074951,1.9389084577560425,-0.97585529088974,5140
19,41965,0.2026408314704895,0.28517207503318787,-11.559263229370117,0.00339432992041111,42.79206466674805,-9.0,9.0,11.277627944946289,7.347090721130371,1.9693996906280518,-0.9973892569541931,5141
20,41965,0.19363683462142944,0.23403412103652954,-13.002081871032715,0.003396692220121622,43.85715103149414,-9.0,9.0,12.624749183654785,7.627403259277344,1.9627169370651245,-1.011377215385437,5142
