Episode,run_id,steps,last_timestep,terrain,terrain_id,terrain_block,episode_in_block,final_cumulative_reward,sum_reward,mean_reward_per_step,sum_progress_cm,sum_raw_progress_cm,mean_progress_reward,sum_progress_reward,start_x,final_x,start_y,final_y,mean_abs_x_position,mean_abs_y_position,no_progress_steps,backward_steps,sum_Progress_Reward,mean_Progress_Reward,sum_X_Drift_Penalty,mean_X_Drift_Penalty,sum_Heading_Penalty,mean_Heading_Penalty,sum_Living_Penalty,mean_Living_Penalty,sum_No_Progress_Penalty,mean_No_Progress_Penalty,sum_Backward_Penalty,mean_Backward_Penalty,mean_abs_Motor1_Action,mean_abs_Motor2_Action,mean_abs_Motor3_Action,mean_abs_Motor4_Action,mean_abs_Motor5_Action,mean_abs_Motor6_Action,mean_abs_Motor7_Action,delta_x,delta_y,reward_sum_delta
10,20260416_161832_958627,175,174,carpet,0,1,2,-9.70126741815627,-9.701267418156267,-0.055435813818035806,2.115326613402175,0.30604898929596214,0.001350865192576558,0.23640140870089765,1.4434442520141602,1.9504525661468504,0.1738647073507309,0.1543151289224624,1.708668610027858,0.14929187617131642,101,0,0.23640140870089765,0.001350865192576558,21.72196728865489,0.12412552736374223,0.5774171790263449,0.0032995267372933996,3.5,0.02,4.236601239040356,0.024209149937373463,0.0,0.0,0.5256419704029602,0.5066691487921136,0.5520903491361865,0.5448083590436726,0.5289885293266603,0.47481226468724863,0.46857880877197855,0.5070083141326902,-0.019549578428268488,-3.552713678800501e-15
11,20260416_161832_958627,175,174,carpet,0,1,3,-5.065202664891244,-5.065202664891244,-0.028944015227949964,15.75869665337163,16.651413775980473,0.04240932527739544,7.421631923544202,1.7404135465621948,2.6813459396362305,0.2046171277761459,0.0137999858707189,2.145800326892308,0.06213193656610587,81,0,7.421631923544202,0.04240932527739544,53.5144209341944,0.3057966910525394,0.6885691224114772,0.003934680699494156,3.5,0.02,3.6009640388954316,0.020576937365116753,0.0,0.0,0.528821937505688,0.5002389978404556,0.506090285017022,0.5248611922808257,0.5397474305544581,0.46213855005002447,0.3924592224135995,0.9409323930740356,-0.190817141905427,0.0
12,20260416_161832_958627,175,174,carpet,0,1,4,8.962461940646435,8.962461940646435,0.05121406823226534,31.399148846089158,31.616565585136414,0.07969749913726358,13.947062349021126,1.4865890741348269,1.8093271255493164,0.1804070621728897,-0.1640221923589706,1.6517486933299472,0.08843582134693857,44,0,13.947062349021126,0.07969749913726358,0.38737200745517103,0.002213554328315263,0.0,0.0,3.5,0.02,1.4458632076291733,0.008262075472166704,0.0,0.0,0.5312676629715966,0.47963411759917757,0.554689914544246,0.5508033487253955,0.5443943465394633,0.4397917406422286,0.3311417907376641,0.3227380514144895,-0.3444292545318603,0.0
13,20260416_161832_958627,175,174,carpet,0,1,5,10.432372514215954,10.43237251421595,0.059613557224091146,35.031498663672366,35.05328297615051,0.0917985219332377,16.064741338316598,1.294517993927002,1.769063115119934,0.1467664539813995,-0.2217291444540023,1.5953942258017404,0.10064403873735236,37,0,16.064741338316598,0.0917985219332377,9.393253551465504,0.05367573457980288,0.1572381310646896,0.0008985036060839406,3.5,0.02,1.1851815624008635,0.006772466070862077,0.0,0.0,0.5365455101655009,0.5155390682976161,0.511940301316125,0.54168224935819,0.5426244226696768,0.5074668278059523,0.3563457637732582,0.47454512119293213,-0.3684955984354018,3.552713678800501e-15
14,20260416_170321_998771,175,174,carpet,0,1,6,-1.882234994834271,-1.8822349948342705,-0.010755628541910117,13.917306681334551,15.80642843618989,0.03531400979039342,6.179951713318848,1.2124732732772827,1.7538644075393677,0.1624369323253631,-0.0139096761122345,1.5187276990073069,0.09904048808717297,85,0,6.179951713318848,0.03531400979039342,10.155543523129818,0.05803167727502753,0.3219041162777694,0.001839452093015825,3.5,0.02,3.530537150026248,0.02017449800014999,0.0,0.0,0.5375800645936812,0.5632334907752062,0.5402049013478348,0.5145465039781162,0.5560061866044999,0.528812154254743,0.5647770598424332,0.541391134262085,-0.1763466084375976,-4.440892098500626e-16
15,20260416_170321_998771,175,174,carpet,0,1,7,-8.503013205744368,-8.50301320574437,-0.04858864688996783,7.74467948170148,6.3786763697862625,0.026389981436934846,4.618246751463598,1.3192169666290283,2.153380870819092,0.1250948458909988,0.0166630558669567,1.8585585260391235,0.101197191506092,92,0,4.618246751463598,0.026389981436934846,50.721570755847516,0.2898375471762715,7.764981469418704,0.04437132268239259,3.5,0.02,4.160853808152279,0.02377630747515588,0.0,0.0,0.4980039274240179,0.5591636576503515,0.544962617595281,0.5056803086187158,0.5374068970339639,0.5388995433173009,0.5304002013579676,0.8341639041900635,-0.10843179002404212,1.7763568394002505e-15
16,20260416_172600_133022,175,174,foam,3,2,0,4.643345613754432,4.643345613754432,0.026533403507168183,-5.28057482744866,2.106906473636627,0.07539433042453739,13.194007824294044,1.925377368927002,1.1609044075012207,0.3524966835975647,0.1712765991687774,1.670508713722229,0.2645948714869363,100,0,13.194007824294044,0.07539433042453739,4.07476522030074,0.0232843726874328,2.0880327177087326,0.011931615529764185,3.5,0.02,4.538784052624098,0.0259359088721377,0.0,0.0,0.5674856572811092,0.49788682701332226,0.5440827331186405,0.5525129609022822,0.49933331257663666,0.5692587993375491,0.5354685871382909,-0.7644729614257812,-0.1812200844287873,0.0
17,20260416_173027_990798,175,174,foam,3,2,1,-17.072372270219674,-17.07237227021967,-0.09755641297268383,-24.619757661601028,-31.283918023109436,-0.00880794339373876,-1.5413900939042833,1.883679986000061,0.8601743578910828,0.1355317831039428,0.5349339246749878,1.3825011454309737,0.34842460913317547,109,0,-1.5413900939042833,-0.00880794339373876,59.13459924283143,0.3379119956733224,16.95275099480592,0.09687286282746241,3.5,0.02,5.269884702291945,0.030113626870239683,0.0,0.0,0.5605710059776903,0.5114341320789286,0.5315561701410583,0.5661576147111399,0.5671370347562645,0.5648313009286565,0.5470459391655667,-1.0235056281089783,0.39940214157104503,-3.552713678800501e-15
18,20260416_173329_900857,175,174,foam,3,2,2,-14.259000536459096,-14.25900053645909,-0.08148000306548052,-13.829749722092984,-13.814511895179756,-0.02186613060807228,-3.8265728564126493,2.062476634979248,1.510220646858215,0.2286998033523559,0.2969915866851806,1.6318729209899903,0.26705154359340666,100,0,-3.8265728564126493,-0.02186613060807228,18.916396557243495,0.10809369461281997,4.254092564271236,0.024309100367264205,3.5,0.02,4.828083396108528,0.027589047977763015,0.0,0.0,0.5513545064282205,0.5411358938100083,0.5583146631664463,0.5316431101225316,0.5997759676937546,0.5752438998674708,0.5500330971188045,-0.5522559881210329,0.06829178333282471,-5.329070518200751e-15
19,20260416_173329_900857,175,174,foam,3,2,3,-8.121859171187026,-8.121859171187026,-0.046410623835354436,-2.746277080632936,-2.8465241193771362,0.009286057926541854,1.6250601371448243,2.237959146499634,1.9028477668762207,0.2302962988615036,0.2136741876602172,2.0075538226536342,0.23715837838394302,105,0,1.6250601371448243,0.009286057926541854,0.19652716272071463,0.0011230123584040836,28.4931292594522,0.162817881482584,3.5,0.02,4.802610129087166,0.027443486451926666,0.0,0.0,0.5364271411565797,0.5286322019674948,0.512104126555579,0.5120373619214764,0.5498369828505175,0.5066261058353952,0.5456578031920695,-0.3351113796234131,-0.0166221112012864,0.0
20,20260416_173329_900857,175,174,foam,3,2,4,-1.1451019022378277,-1.1451019022378295,-0.006543439441359026,8.970703915991097,9.902884811162954,0.0406344442216301,7.111027738785268,2.4319958686828613,2.544087648391724,0.2955849766731262,0.0870627537369728,2.424363009589059,0.2611583048956735,84,0,7.111027738785268,0.0406344442216301,0.48500415083689685,0.0027714522904965532,20.345084094916054,0.11625762339952031,3.5,0.02,3.6903750211936006,0.021087857263963432,0.0,0.0,0.5388669810656991,0.5425098722507911,0.5131230550299265,0.5026437434261398,0.5339439554339541,0.4761130165947335,0.47450170032680034,0.11209177970886275,-0.2085222229361534,1.7763568394002505e-15
21,20260416_173329_900857,175,174,foam,3,2,5,-11.81685899840712,-11.816858998407122,-0.06752490856232642,-16.13889464814625,-14.218223094940187,-0.017820327887189766,-3.1185573802582094,2.621656656265259,2.419734477996826,0.4451569020748138,0.2651228606700897,2.2992167009626114,0.26707171823297227,107,0,-3.1185573802582094,-0.017820327887189766,0.07754206380371827,0.00044309750744981865,3.6454587507613145,0.020831192861493226,3.5,0.02,5.0082744742304754,0.028618711281317002,0.0,0.0,0.5571235864915486,0.5210843823071419,0.5301343744886773,0.5042173309837069,0.4768067925955568,0.3964016517956874,0.31994190026872926,-0.20192217826843262,-0.18003404140472407,1.7763568394002505e-15
22,20260416_173329_900857,175,174,foam,3,2,6,4.538738969837273,4.53873896983727,0.025935651256212975,19.53488379114687,22.791605442762382,0.07308290111605913,12.789507695310347,2.3229289054870605,2.4286184310913086,0.2049194276332855,-0.0359208062291145,2.420352745056152,0.20642702589077608,85,0,12.789507695310347,0.07308290111605913,0.9084959646421223,0.005191405512240699,13.232598328079844,0.07561484758902767,3.5,0.02,3.998289212604868,0.022847366929170675,0.0,0.0,0.5282559774070978,0.5529014589398035,0.5232140326287065,0.4545424171164632,0.5198067589157394,0.41612076841427814,0.3452496401062568,0.10568952560424805,-0.2408402338624,2.6645352591003757e-15
23,20260416_173329_900857,175,174,foam,3,2,7,-1.516625202412985,-1.516625202412984,-0.008666429728074194,8.805725363693055,13.017918355762966,0.03800045973385253,6.650080453424192,2.356041431427002,2.1388301849365234,0.0279575325548648,-0.1144857704639434,2.2411596652439663,0.057912804457758114,95,0,6.650080453424192,0.03800045973385253,0.5271388229357284,0.0030122218453470196,5.143782476860747,0.029393042724918557,3.5,0.02,4.356802649700566,0.024896015141146092,0.0,0.0,0.5077582416364125,0.4654116998644479,0.5412503442487546,0.432105239137475,0.43863871248438957,0.38402580073635495,0.31572872067668606,-0.21721124649047852,-0.1424433030188082,-8.881784197001252e-16
24,20260416_173329_900857,175,174,cardboard,1,3,0,-14.015200998876432,-14.015200998876432,-0.08008686285072247,-16.80603651554631,-15.983445942401877,-0.02780256568882535,-4.865448995544436,1.6513197422027588,1.772034764289856,0.1734885424375534,0.3110841810703277,1.7409670979636056,0.26786965949194774,114,0,-4.865448995544436,-0.02780256568882535,0.18067315797151665,0.0010324180455515237,1.3385232366420574,0.007648704209383185,3.5,0.02,5.564758525702741,0.031798620146872805,0.0,0.0,0.5145827522767442,0.5172745113367481,0.5265679420120016,0.4826831368012686,0.5050295137653925,0.4284307612691607,0.37441950555890796,0.12071502208709717,0.1375956386327743,0.0
25,20260416_173329_900857,175,174,cardboard,1,3,1,-7.778221639766923,-7.778221639766923,-0.044446980798668136,1.677617960081548,2.663577347993849,0.0036917040508936483,0.6460482089063885,2.005643367767334,2.190024137496948,-0.0437443628907203,-0.1215028539299964,2.046715658051627,0.10069820781903603,107,0,0.6460482089063885,0.0036917040508936483,0.7839681002140182,0.004479817715508675,0.0,0.0,3.5,0.02,4.845873038651909,0.02769070307801091,0.0,0.0,0.6155572062890444,0.514334809809391,0.5204607591352293,0.4661155521071383,0.45453731619952514,0.380830758181068,0.36757348886025804,0.1843807697296138,-0.0777584910392761,0.0
26,20260416_173329_900857,175,174,cardboard,1,3,2,-0.9345487971997262,-0.9345487971997303,-0.005340278841141316,12.397869103982172,12.221997976303104,0.03530316661034152,6.1780541568097656,2.184998273849488,2.393106698989868,-0.0727345794439315,-0.2003550082445144,2.28122081892831,0.1334942740627697,85,0,6.1780541568097656,0.03530316661034152,0.027093509231835844,0.00015482005275334768,0.011830515534333,6.760294591047428e-05,3.5,0.02,3.6093020773095943,0.020624583298911967,0.0,0.0,0.5535879269002804,0.4583733428974769,0.5261819109007982,0.4575315897831959,0.4360585077506091,0.3477351418190769,0.3029168482923082,0.20810842514037997,-0.1276204288005829,4.107825191113079e-15
27,20260416_173329_900857,175,174,cardboard,1,3,3,-20.86739703893148,-20.867397038931493,-0.11924226879389424,-25.844676035529275,-28.045223653316498,-0.06548952003207557,-11.460666005613225,2.2939352989196777,2.482606172561645,-0.0392812453210353,0.2168687582015991,2.3790823895590645,0.13120786834508177,124,0,-11.460666005613225,-0.06548952003207557,0.8548082902695654,0.004884618801540373,0.0,0.0,3.5,0.02,5.821250204291311,0.033264286881664634,0.0,0.0,0.49880345226132444,0.4765412520058453,0.5536353763512203,0.3950619390853015,0.47000749657196655,0.40889179526695185,0.3093426379089111,0.18867087364196733,0.2561500035226344,1.4210854715202004e-14
28,20260416_173329_900857,175,174,cardboard,1,3,4,-12.369296476830998,-12.369296476830996,-0.07068169415331998,-6.7976241289835855,-11.454111337661747,-0.018995914074304145,-3.324284963003225,2.4173741340637207,2.444796800613404,-0.2388930022716522,-0.1689936518669128,2.462428928102766,0.21789316466876438,116,0,-3.324284963003225,-0.018995914074304145,1.30710995607107,0.0074691997489775425,0.2554311775893227,0.0014596067290818442,3.5,0.02,5.4015289593411975,0.030865879767663987,0.0,0.0,0.5678297578969173,0.4678944854864052,0.5004483034967312,0.4015880650015814,0.3929481315413224,0.33845890395343303,0.2724762150385816,0.027422666549683505,0.06989935040473941,-1.7763568394002505e-15
29,20260416_173329_900857,175,174,cardboard,1,3,5,-11.589493699196971,-11.58949369919697,-0.06622567828112554,-8.597688709830592,-9.768706560134884,-0.01726703482475753,-3.0217310943325675,2.3462882041931152,2.644054412841797,-0.4179083108901977,-0.3264867961406708,2.451871829714094,0.3837222567626408,111,0,-3.0217310943325675,-0.01726703482475753,1.73257453757377,0.009900425928992972,0.11792255755416489,0.0006738431860237994,3.5,0.02,4.888609023229315,0.027934908704167514,0.0,0.0,0.5707135395426303,0.5275396068154701,0.49644330810755494,0.43351175749142257,0.4893479000510914,0.4059159211022779,0.3459210817475936,0.29776620864868164,0.09142151474952692,-1.7763568394002505e-15
30,20260416_173329_900857,175,174,cardboard,1,3,6,-8.907058332377753,-8.90705833237775,-0.05089747618501571,-0.5876382818678547,0.8759588003158556,-0.001391871318791398,-0.24357748078849464,2.011624813079834,2.1547164916992188,-0.3949988782405853,-0.4077135026454925,2.0410894782202584,0.3965893169811794,114,0,-0.24357748078849464,-0.001391871318791398,0.0005986065360403,3.4206087773731433e-06,2.6849573672366978,0.015342613527066845,3.5,0.02,5.029173122573815,0.02873813212899323,0.0,0.0,0.5429569157841615,0.49122119156111566,0.625032743077193,0.4235948488728276,0.4355664721530463,0.30398625732831924,0.3036051105874191,0.14309167861938477,-0.012714624404907171,-3.552713678800501e-15
31,20260416_173329_900857,175,174,cardboard,1,3,7,-5.456059167561918,-5.456059167561914,-0.031177480957496652,4.9364434486966555,4.700136184692383,0.015649455978705373,2.7386547962734404,2.1276745796203613,2.418766498565674,-0.4133519232273102,-0.4546755850315094,2.2664087649754117,0.45799995371273583,105,0,2.7386547962734404,0.015649455978705373,0.28412713201066525,0.0016235836114895158,0.14364674735275298,0.0008208385563014456,3.5,0.02,4.659118913266651,0.026623536647238006,0.0,0.0,0.5353434183658101,0.5201394632112767,0.530547359042934,0.3902687207759092,0.44144471714672234,0.41079444777553104,0.30929096712065596,0.2910919189453125,-0.04132366180419922,-3.552713678800501e-15
