update,replay_size,qf1_loss,qf2_loss,policy_loss,alpha,alpha_loss,target_entropy_internal,target_entropy_paper,q_target_mean,q_target_std,policy_mean_abs,policy_log_std_mean,train_update
1,41965,1.8016177415847778,1.6111980676651,-16.295963287353516,0.004304495640099049,5.179922580718994,-9.0,9.0,16.337907791137695,9.584366798400879,1.478335976600647,-0.8290323615074158,5123
2,41965,0.867685079574585,2.6987717151641846,-18.229022979736328,0.004307869356125593,0.8632097840309143,-9.0,9.0,17.539325714111328,9.672112464904785,1.4464671611785889,-0.8120557069778442,5124
3,41965,1.5983556509017944,1.269544005393982,-15.875045776367188,0.004311662632972002,5.967218399047852,-9.0,9.0,15.772703170776367,9.386030197143555,1.526540756225586,-0.79970782995224,5125
4,41965,0.9307980537414551,0.9566502571105957,-16.221160888671875,0.004315651021897793,10.178717613220215,-9.0,9.0,16.005945205688477,9.252083778381348,1.563963532447815,-0.7999842762947083,5126
5,41965,1.154498815536499,1.4261486530303955,-16.928104400634766,0.004319752566516399,11.317431449890137,-9.0,9.0,17.091947555541992,9.466727256774902,1.6006888151168823,-0.8007755875587463,5127
6,41965,0.946506142616272,1.4152029752731323,-17.261423110961914,0.004323927685618401,11.184925079345703,-9.0,9.0,17.276487350463867,9.538141250610352,1.58247971534729,-0.7876583933830261,5128
7,41965,0.6227380037307739,0.6585263609886169,-17.29153823852539,0.004328156355768442,14.642805099487305,-9.0,9.0,17.032272338867188,9.453141212463379,1.6073248386383057,-0.8283695578575134,5129
8,41965,0.8244754076004028,0.6651415228843689,-16.623004913330078,0.004332424607127905,24.688697814941406,-9.0,9.0,16.25922393798828,9.422099113464355,1.7529410123825073,-0.8344936966896057,5130
9,41965,0.6915062069892883,0.9662848711013794,-17.877044677734375,0.004336721263825893,21.901769638061523,-9.0,9.0,17.427074432373047,9.879459381103516,1.7539552450180054,-0.8107066750526428,5131
10,41965,0.4924848973751068,0.8432640433311462,-17.62796974182129,0.004341043531894684,29.19837760925293,-9.0,9.0,17.051681518554688,9.717063903808594,1.8405734300613403,-0.8201021552085876,5132
11,41965,0.7002385854721069,0.7030586004257202,-17.45395278930664,0.004345386289060116,37.75465774536133,-9.0,9.0,16.78365707397461,9.468214988708496,1.963249921798706,-0.8058409094810486,5133
12,41965,0.6091532111167908,0.4381331205368042,-17.660982131958008,0.004349743947386742,35.78596878051758,-9.0,9.0,17.29827117919922,9.460920333862305,1.9391814470291138,-0.807195782661438,5134
13,41965,0.4734361469745636,0.49701446294784546,-17.549495697021484,0.004354116506874561,44.31829833984375,-9.0,9.0,17.40475082397461,9.176931381225586,2.0633327960968018,-0.788773238658905,5135
