Episode,run_id,steps,last_timestep,terrain,terrain_id,terrain_block,episode_in_block,final_cumulative_reward,sum_reward,mean_reward_per_step,sum_progress_cm,sum_raw_progress_cm,mean_progress_reward,sum_progress_reward,start_x,final_x,start_y,final_y,mean_abs_x_position,mean_abs_y_position,no_progress_steps,backward_steps,sum_Progress_Reward,mean_Progress_Reward,sum_X_Drift_Penalty,mean_X_Drift_Penalty,sum_Heading_Penalty,mean_Heading_Penalty,sum_Living_Penalty,mean_Living_Penalty,sum_No_Progress_Penalty,mean_No_Progress_Penalty,sum_Backward_Penalty,mean_Backward_Penalty,mean_abs_Motor1_Action,mean_abs_Motor2_Action,mean_abs_Motor3_Action,mean_abs_Motor4_Action,mean_abs_Motor5_Action,mean_abs_Motor6_Action,mean_abs_Motor7_Action,delta_x,delta_y,reward_sum_delta
0,20260417_154116_032810,175,174,artificial_grass,2,0,0,12.815982145545435,12.815982145545439,0.07323418368883108,39.301125755075105,40.61698019504547,0.10549762101704505,18.462083677982882,1.0786720514297483,1.3072788715362549,0.227257490158081,-0.2123188972473144,1.2188156018938336,0.12918371024142417,59,0,18.462083677982882,0.10549762101704505,0.10108304288595948,0.0005776173879197685,0.18922280715269713,0.001081273183729698,3.5,0.02,2.126532087791211,0.01215161193023549,0.0,0.0,0.8241408002725714,0.6874931875428572,0.6872904264914286,0.41426265714371424,0.5046269393914286,0.42210178652571423,0.41453797340857135,0.22860682010650657,-0.4395763874053954,-3.552713678800501e-15
1,20260417_154116_032810,175,174,artificial_grass,2,0,1,25.519528379485617,25.519528379485624,0.14582587645420356,61.94010604018588,62.05200552940369,0.17072323754589525,29.87656657053167,1.0891436338424685,1.3306303024291992,0.1776939630508422,-0.4799284934997558,1.2133398294448852,0.18963219307895218,24,0,29.87656657053167,0.17072323754589525,0.10174692422065754,0.0005814109955466145,0.2601584149600827,0.0014866195140576153,3.5,0.02,0.8338555778759722,0.004764889016434127,0.0,0.0,0.7718483035106745,0.5818284830078483,0.6684667715536696,0.42755049160016434,0.4637956541660242,0.4535392857609051,0.4557570001629314,0.24148666858673073,-0.657622456550598,-7.105427357601002e-15
2,20260417_154116_032810,175,174,artificial_grass,2,0,2,24.80051708439317,24.800517084393174,0.1417172404822467,60.154174140952485,64.7506058216095,0.16687817479534486,29.20368058918535,0.918297290802002,1.1852173805236816,0.2956488728523254,-0.4640392363071441,1.1578415727615357,0.2014429648326976,18,0,29.20368058918535,0.16687817479534486,0.0,0.0,2.908355770631001,0.01661917583217715,3.5,0.02,0.7577457162606248,0.004329975521489285,0.0,0.0,0.5661832499224693,0.5224150225733007,0.6195845766418746,0.4675427235050925,0.46354873724281787,0.44640321510178704,0.4481114911687161,0.2669200897216797,-0.7596881091594695,-3.552713678800501e-15
3,20260417_154116_032810,175,174,artificial_grass,2,0,3,26.79644733044009,26.796447330440074,0.15312255617394327,66.83280770886843,69.67385858297348,0.18100787083238679,31.676377395667686,1.093587040901184,1.3125044107437134,0.2456494867801666,-0.4802582859992981,1.2123064831324986,0.21967572879578387,27,0,31.676377395667686,0.18100787083238679,0.0,0.0,9.797408264583073,0.055985190083331846,3.5,0.02,0.8900596519984554,0.005086055154276888,0.0,0.0,0.5542176597033228,0.5472394760192505,0.5583679522680385,0.49804847750413633,0.4841451662858682,0.3510243760568223,0.3669282803817519,0.2189173698425293,-0.7259077727794647,1.4210854715202004e-14
4,20260417_154116_032810,175,174,artificial_grass,2,0,4,21.50193892700221,21.501938927002207,0.12286822244001261,56.23931017847174,58.83963704109192,0.1521272919557204,26.622276092251067,1.0488675832748413,1.16851007938385,0.2206759452819824,-0.3723096251487732,1.0997303107806615,0.15728059367941957,32,0,26.622276092251067,0.1521272919557204,0.0007438809049262817,4.2507480281501814e-06,2.760264815579423,0.01577294180331099,3.5,0.02,1.482249536379394,0.008469997350739394,0.0,0.0,0.5482445321019207,0.5183381326230508,0.5437190567662141,0.6966169965825975,0.623790023422667,0.5237002269444722,0.46650560899504595,0.11964249610900879,-0.5929855704307556,3.552713678800501e-15
5,20260417_154116_032810,151,150,artificial_grass,2,0,5,44.6388003695473,44.6388003695473,0.2956211945003132,91.3580090722216,94.46480870246887,0.28804808025672995,43.495260118766225,1.1668879985809326,1.3354134559631348,0.2002000659704208,-0.7522568106651306,1.2163849311159147,0.25358392597355,5,0,43.495260118766225,0.28804808025672995,0.0,0.0,1.1677614137952577,0.007733519296657335,3.02,0.02,0.2154799241234569,0.001427019365056006,0.0,0.0,0.546944055872405,0.5669043036116077,0.6202872337631585,0.5309605992257299,0.5604808326280176,0.45152387183486475,0.5246345943074353,0.16852545738220215,-0.9524568766355515,0.0
6,20260417_154116_032810,175,174,artificial_grass,2,0,6,33.519337404547166,33.519337404547166,0.19153907088312666,79.31247172476257,78.32408845424652,0.21292035303906637,37.26106178183662,0.8369943499565125,0.8857461214065552,0.1862224340438842,-0.6058393716812134,0.8744009794507708,0.29337607527151705,4,0,37.26106178183662,0.21292035303906637,0.004997426513068038,2.8556722931817358e-05,1.1091816140006325,0.006338180651432186,3.5,0.02,0.1857655539381085,0.0010615174510749058,0.0,0.0,0.4949141726316884,0.555364634418594,0.5376098781531411,0.4567032172963289,0.4536427609522694,0.4267190679959354,0.4457272490360109,0.048751771450042725,-0.7920618057250975,0.0
7,20260417_154116_032810,175,174,artificial_grass,2,0,7,22.08027931722575,22.080279317225727,0.1261730246698613,54.88692429011543,51.736658811569214,0.15897957289276837,27.821425256234466,0.9124633073806764,0.780213475227356,0.2235107421875,-0.2983268797397613,0.9413591231618609,0.23547097571726355,30,0,27.821425256234466,0.15897957289276837,0.04045920426191731,0.00023119545292524178,16.914801417409922,0.09665600809948527,3.5,0.02,1.3913599477120462,0.007950628272640264,0.0,0.0,0.5320559848632131,0.5453424404774393,0.6052657320669719,0.5643258997691529,0.5150365362529243,0.48383517878928356,0.5305032502992877,-0.13224983215332042,-0.5218376219272614,2.1316282072803006e-14
8,20260417_154116_032810,175,174,carpet,0,1,0,4.990578360699349,4.99057836069935,0.028517590632567712,27.24069643545286,25.344709306955338,0.06979026481841519,12.213296343222657,1.824578046798706,2.411973714828491,0.16794154047966,-0.0905893966555595,2.115152393749782,0.08303947909602095,53,0,12.213296343222657,0.06979026481841519,13.652948921211557,0.07801685097835176,0.2607023030025847,0.0014897274457290554,3.5,0.02,2.3443879752520225,0.013396502715725843,0.0,0.0,0.5569997640699148,0.48912211751964474,0.5583434229547857,0.5387791153229773,0.4667251757053392,0.4700080276812826,0.5709052057537649,0.5873956680297852,-0.2585309371352195,-8.881784197001252e-16
9,20260417_154116_032810,175,174,carpet,0,1,1,1.6006096774489271,1.6006096774489247,0.009146341013993855,18.561871775120153,19.026197493076324,0.04500822900254254,7.876440075444944,1.509113907814026,1.7695714235305786,0.2702080905437469,0.0494019836187362,1.6690355362210956,0.19191084412591797,69,0,7.876440075444944,0.04500822900254254,0.0904517977520654,0.000516867415726088,0.0255854782367869,0.00014620273278163944,3.5,0.02,2.765505944308973,0.01580289111033699,0.0,0.0,0.5457930903615696,0.48178570829947215,0.6128227840370631,0.5808423632809094,0.49935911774369224,0.5551279688380393,0.5597622147841113,0.2604575157165525,-0.22080610692501068,2.4424906541753444e-15
