terrain_block,terrain,episodes,first_episode,last_episode,mean_reward,median_reward,std_reward,best_reward,worst_reward,mean_progress_cm,mean_raw_progress_cm,mean_steps,mean_no_progress_steps,mean_backward_steps,mean_delta_x,mean_delta_y
0,artificial_grass,8,0,7,26.45910386977334,25.160022731939392,9.365423751685254,44.6388003695473,12.815982145545435,63.75311611383165,65.05733039230108,172.0,24.875,0.0,0.14507510513067245,-0.6802670750766993
1,carpet,8,8,15,-4.685982955344089,-0.31947037146218804,10.0231729838128,4.990578360699349,-24.4555078013681,7.828288389062221,7.032013009302318,175.0,86.625,0.0,0.3424075841903686,-0.10746551933698358
2,foam,5,16,20,-7.246931296622984,-6.06748161435003,12.330867314695908,4.6580158120235575,-24.37441195721997,-6.732727714180965,-6.9961625337600735,175.0,97.6,0.0,-0.4940957069396973,0.006619834899902366
