role,episode,terrain,update_in_episode,replay_size,qf1_loss,qf2_loss,policy_loss,alpha,alpha_loss,target_entropy_internal,target_entropy_paper,q_target_mean,q_target_std,policy_mean_abs,policy_log_std_mean,train_update
individual,4,carpet,1,700,0.2604610323905945,0.26021608710289,-0.0462089478969574,0.009990004822611809,-62.757991790771484,-9.0,9.0,0.45627427101135254,0.22868941724300385,7.731116784270853e-05,7.814927084837109e-05,1
individual,4,carpet,2,700,0.22263477742671967,0.22241228818893433,-0.05154717341065407,0.00998002104461193,-62.65966796875,-9.0,9.0,0.4427810311317444,0.17767159640789032,0.0025778564158827066,-0.0021413066424429417,2
individual,4,carpet,3,700,0.27603358030319214,0.27521246671676636,-0.05935303866863251,0.009970046579837799,-62.67655944824219,-9.0,9.0,0.5040029287338257,0.18798606097698212,0.0047299605794250965,-0.006020425818860531,3
individual,4,carpet,4,700,0.20775243639945984,0.2069999873638153,-0.07383427768945694,0.009960082359611988,-63.99897384643555,-9.0,9.0,0.44117283821105957,0.18707573413848877,0.006397418212145567,-0.01161389984190464,4
individual,4,carpet,5,700,0.20916476845741272,0.20698925852775574,-0.08872564882040024,0.009950127452611923,-62.57377624511719,-9.0,9.0,0.45739108324050903,0.19413325190544128,0.0068414234556257725,-0.01748201809823513,5
individual,4,carpet,6,700,0.1632581353187561,0.16069461405277252,-0.11666286736726761,0.009940183721482754,-63.35386276245117,-9.0,9.0,0.4137076735496521,0.21197570860385895,0.007346222642809153,-0.026450050994753838,6
individual,4,carpet,7,700,0.14634209871292114,0.14263717830181122,-0.15774011611938477,0.009930248372256756,-63.523738861083984,-9.0,9.0,0.4111439883708954,0.23744076490402222,0.009232641197741032,-0.040210843086242676,7
individual,4,carpet,8,700,0.13561904430389404,0.12857666611671448,-0.210947647690773,0.009920324198901653,-63.800716400146484,-9.0,9.0,0.4774547219276428,0.19479139149188995,0.010831983759999275,-0.04711463302373886,8
individual,4,carpet,9,700,0.07680781930685043,0.07009419053792953,-0.28942546248435974,0.009910409338772297,-63.910030364990234,-9.0,9.0,0.4651467502117157,0.16411477327346802,0.014016586355865002,-0.05491877347230911,9
individual,4,carpet,10,700,0.06395666301250458,0.055141691118478775,-0.39708104729652405,0.009900504723191261,-63.363563537597656,-9.0,9.0,0.5161211490631104,0.18200863897800446,0.01835651881992817,-0.05580287426710129,10
