phase,policy_role,terrain,episode,episode_in_terrain,steps,episode_return,ended,terminated_by_target,truncated_by_episode_length,success,remaining_distance_cm,forward_progress_cm,final_z_cm,target_z_cm,individual_alpha,population_alpha,individual_replay_size,population_replay_size,layout,A_width_ratio,A_attack_angle_deg,B_width_ratio,B_attack_angle_deg
train,individual,carpet,1,1,175,66.49948911470022,True,False,True,False,108.3310546875,-18.15604066848755,23.331056594848633,-85.0,0.009999999776482582,0.009999999776482582,175,175,homogeneous,0.9,30.0,0.9,30.0
train,individual,carpet,2,2,175,71.82252502991918,True,False,True,False,120.56689453125,-29.52715301513672,35.566890716552734,-85.0,0.009999999776482582,0.009999999776482582,350,350,homogeneous,0.9,30.0,0.9,30.0
train,individual,carpet,3,3,175,89.32202026550088,True,False,True,False,72.74826049804688,16.763230800628662,-12.251738548278809,-85.0,0.009999999776482582,0.009999999776482582,525,525,homogeneous,0.9,30.0,0.9,30.0
train,individual,carpet,4,4,175,58.98851189950373,True,False,True,False,134.33628845214844,-43.54622793197632,49.33628845214844,-85.0,0.009999999776482582,0.009999999776482582,700,700,homogeneous,0.9,30.0,0.9,30.0
train,individual,carpet,5,5,175,-3.070970370251884,True,False,True,False,111.37396240234375,-20.667968273162842,26.373958587646484,-85.0,0.009656078182160854,0.009656078182160854,875,875,homogeneous,0.9,30.0,0.9,30.0
train,individual,carpet,6,6,175,75.58649141955722,True,False,True,False,98.74920654296875,-8.726033210754395,13.7492094039917,-85.0,0.00924969557672739,0.00924969557672739,1050,1050,homogeneous,0.9,30.0,0.9,30.0
train,individual,carpet,7,7,175,68.93130650063284,True,False,True,False,79.509765625,11.56483793258667,-5.490235328674316,-85.0,0.008781036362051964,0.008781036362051964,1225,1225,homogeneous,0.9,30.0,0.9,30.0
train,individual,carpet,8,8,175,80.53839573946374,True,False,True,False,88.62483978271484,1.3651845455169678,3.6248419284820557,-85.0,0.008261439390480518,0.008261439390480518,1400,1400,homogeneous,0.9,30.0,0.9,30.0
train,individual,carpet,9,9,175,109.10316732760111,True,False,True,False,59.64374542236328,32.31467008590698,-25.35625457763672,-85.0,0.007702954579144716,0.007702954579144716,1575,1575,homogeneous,0.9,30.0,0.9,30.0
train,individual,carpet,10,10,175,98.7648418817958,True,False,True,False,88.5744857788086,0.5524845123291016,3.574488639831543,-85.0,0.007124999072402716,0.007124999072402716,1750,1750,homogeneous,0.9,30.0,0.9,30.0
train,individual,carpet,11,11,175,91.03732291766414,True,False,True,False,91.73246765136719,-0.07717180252075195,6.732469081878662,-85.0,0.0065313647501170635,0.0065313647501170635,1925,1925,homogeneous,0.9,30.0,0.9,30.0
train,individual,carpet,12,12,175,111.00472490244965,True,False,True,False,61.267478942871094,29.897306442260742,-23.73252296447754,-85.0,0.005933551117777824,0.005933551117777824,2100,2100,homogeneous,0.9,30.0,0.9,30.0
