design_index,checkpoint,replay,reason,width_ratio,actual_width,attack_angle_deg,measured_robustness,measured_mean_return,measured_worst_terrain_return,measured_std_across_terrains,cardboard_measured_mean,carpet_measured_mean,cardboard_rollouts,carpet_rollouts,critic_robustness,critic_lcb_robustness,cardboard_critic_q,carpet_critic_q,cardboard_critic_lcb_q,carpet_critic_lcb_q,cardboard_q1_mean,cardboard_q2_mean,carpet_q1_mean,carpet_q2_mean,cardboard_q_disagreement,carpet_q_disagreement,cardboard_state_uncertainty,carpet_state_uncertainty,mean_q_disagreement,mean_state_uncertainty,calibration_base,local_residual,local_residual_correction,calibrated_score,calibration_known_distance,measured_rank,critic_rank,critic_lcb_rank,calibrated_rank,row_type,proposal_checkpoint,proposal_tag,proposal_index,source,full_design,objective,objective_score,proposal_score,known_distance,best_measured_distance,critic_clipped_width,critic_clipped_angle,checkpoint_clip_distance,outside_checkpoint_bounds,iteration,particle,normalized_width,normalized_angle,cost,cardboard_q,carpet_q,cardboard_lcb_q,carpet_lcb_q
0,2026_05_18_DesignCycle0_ep76,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,longest completed design-0 carpet/cardboard run,0.63,5.3999999999999995,0.0,-2.402974843978882,0.1946098804473877,-5.000559329986572,5.195169448852539,-5.000559329986572,5.389779090881348,36,40,2.4668259620666504,2.4500930309295654,1.9312916994094849,4.073429107666016,1.913654813542962,4.059407481923699,1.978707194328308,1.9312916994094849,4.07619571685791,4.096277236938477,0.04741549491882324,0.020081520080566406,0.023132048547267914,0.03600498288869858,0.033748507499694824,0.029568515717983246,8.398709837190019,-10.801548957824707,-8.10116171836853,0.29754811882148857,0.0,4,3,3,4,sanity_initial_design,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,,,,,,,,,,,,,,,,,,
1,2026_05_20_DesignCycle1_ep60,replay_2026_05_20_DesignCycle1_scale_ab_carpet_cardboard_design1_30ep.pt,completed design-1 run,0.63,5.3999999999999995,30.0,10.452309370040894,10.78514289855957,10.119476318359375,0.6656670570373535,10.119476318359375,11.450810432434082,30,30,2.6015726923942566,2.5922966599464417,2.3864853382110596,3.2468342781066895,2.3783201524056494,3.2342255753464997,2.3904547691345215,2.387934923171997,3.2468342781066895,3.2712647914886475,0.002519845962524414,0.024430513381958008,0.030140897259116173,0.02600429765880108,0.013475179672241211,0.028072597458958626,11.237289347937342,-0.784946620464325,-0.5887099653482437,10.648579382589098,0.0,2,2,2,2,sanity_initial_design,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,,,,,,,,,,,,,,,,,,
2,2026_05_21_DesignCycle2_ep60,replay_2026_05_21_DesignCycle2_scale_ab_carpet_cardboard_design2_30ep.pt,completed design-2 run,0.9,7.714285714285714,30.0,19.473730087280273,20.952911376953125,17.994548797607422,2.958362579345703,23.911273956298828,17.994548797607422,30,30,2.6458981037139893,2.631127119064331,2.5180280208587646,3.029508352279663,2.5048771472647786,3.0098771331831813,2.5428006649017334,2.5180280208587646,3.0311625003814697,3.07204532623291,0.02477264404296875,0.04088282585144043,0.027830850332975388,0.03764205053448677,0.03282773494720459,0.03273645043373108,12.012398579726863,7.461243629455566,5.595932722091675,17.608331301818538,0.0,1,1,1,1,sanity_initial_design,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,,,,,,,,,,,,,,,,,,
3,2026_05_21_DesignCycle3_ep60,replay_2026_05_21_DesignCycle3_scale_ab_carpet_cardboard_design3_30ep.pt,completed design-3 run,0.9,7.714285714285714,0.0,6.624849319458008,12.711324691772461,0.5383732914924622,12.172950744628906,0.5383732914924622,24.884275436401367,30,30,2.1657660603523254,2.154561936855316,1.7684786319732666,3.35762882232666,1.7588185667991638,3.3417924139648676,1.7824678421020508,1.7685741186141968,3.3604843616485596,3.367591381072998,0.013893723487854004,0.0071070194244384766,0.02474653720855713,0.05623861402273178,0.01050037145614624,0.040492575615644455,2.49950378859932,4.1252546310424805,3.0939409732818604,5.59344476188118,0.0,3,4,4,3,sanity_initial_design,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,,,,,,,,,,,,,,,,,,
,,,,0.9418764114379883,8.073226383754186,36.14320755004883,,,,,,,,,2.6458981037139893,2.631127119064331,2.5180280208587646,3.029508352279663,2.5048771467991173,3.0098771350458264,,,,,0.02477264404296875,0.04088282585144043,0.027830852195620537,0.037642043083906174,0.03282773494720459,0.03273644670844078,12.012398579726863,6.292223930358887,4.719167947769165,16.731566527496028,,,,,,selected_proposal,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,1,ranked_particle,"0.9418764114379883,36.14320755004883,0.9418764114379883,36.14320755004883",calibrated,16.731566527496028,16.731566527496028,0.15095412731170654,0.15095412731170654,0.8999999761581421,30.0,0.15095412731170654,True,,,,,,,,,
,,,,0.8024999499320984,6.8785709994179856,30.0,,,,,,,,,2.593252718448639,2.5823851823806763,,,,,2.4554967880249023,2.4440321922302246,3.0419540405273438,3.0686142444610596,0.011464595794677734,0.02666020393371582,0.026839645579457283,0.032305847853422165,0.019062399864196777,0.0295727476477623,11.039442659115679,4.915338516235352,3.6865038871765137,14.725946546292192,0.15000009536743164,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,14.725946546292192,14.725946546292192,0.15000009536743164,0.15000009536743164,0.8024999499320984,30.0,0.0,False,0,0,0.7730768322944641,0.6666666865348816,-14.725946546292192,2.4439120292663574,3.041274309158325,2.4343359689228237,3.0265327962115407
,,,,0.8999999761581421,7.714285509926932,36.750003814697266,,,,,,,,,2.6458981037139893,2.631127119064331,,,,,2.5428006649017334,2.5180280208587646,3.0311625003814697,3.07204532623291,0.02477264404296875,0.04088282585144043,0.027830850332975388,0.03764205053448677,0.03282773494720459,0.03273645043373108,12.012398579726863,6.1403703689575195,4.60527777671814,16.617676356445003,0.15000003576278687,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,16.617676356445003,16.617676356445003,0.15000003576278687,0.15000003576278687,0.8999999761581421,30.0,0.15000003576278687,True,0,1,0.9230769276618958,0.8166667222976685,-16.617676356445003,2.5180280208587646,3.029508352279663,2.5048771472647786,3.0098771331831813
,,,,0.8999999761581421,7.714285509926932,23.25,,,,,,,,,2.37939453125,2.363423526287079,,,,,2.262650489807129,2.2395806312561035,2.877066135406494,2.7988362312316895,0.02306985855102539,0.07822990417480469,0.028224939480423927,0.023421499878168106,0.05064988136291504,0.02582322061061859,6.668667630914214,5.728531837463379,4.296398878097534,10.965066509011749,0.15000003576278687,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,10.965066509011749,10.965066509011749,0.15000003576278687,0.15000003576278687,0.8999999761581421,23.25,0.0,False,0,2,0.9230769276618958,0.5166666507720947,-10.965066509011749,2.2395806312561035,2.7988362312316895,2.226756931748241,2.7734233802184463
,,,,0.831057071685791,7.123346328735352,34.772972106933594,,,,,,,,,2.601947605609894,2.5887771248817444,,,,,2.480083703994751,2.4604172706604004,3.026538133621216,3.0640127658843994,0.019666433334350586,0.037474632263183594,0.02693837881088257,0.033434007316827774,0.02857053279876709,0.03018619306385517,11.167034599932137,5.545750141143799,4.159312605857849,15.326347205789986,0.15000005066394806,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,15.326347205789986,15.326347205789986,0.15000005066394806,0.15000005066394806,0.831057071685791,30.0,0.10606604814529419,True,0,3,0.8170108795166016,0.7727327346801758,-15.326347205789986,2.4604172706604004,3.026538133621216,2.448766067624092,3.008810973726213
,,,,0.831057071685791,7.123346328735352,25.227027893066406,,,,,,,,,2.413802742958069,2.4028559923171997,,,,,2.2743167877197266,2.26432204246521,2.903348684310913,2.8629329204559326,0.009994745254516602,0.04041576385498047,0.026858441531658173,0.024173451587557793,0.025205254554748535,0.025515947490930557,7.455793746507631,5.23704195022583,3.9277814626693726,11.383575209177003,0.15000005066394806,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,11.383575209177003,11.383575209177003,0.15000005066394806,0.15000005066394806,0.831057071685791,25.227027893066406,0.0,False,0,4,0.8170108795166016,0.5606006383895874,-11.383575209177003,2.2640926837921143,2.8629329204559326,2.2548793870955706,2.846785616595298
