design_index,checkpoint,replay,reason,width_ratio,actual_width,attack_angle_deg,measured_robustness,measured_mean_return,measured_worst_terrain_return,measured_std_across_terrains,measured_noise_variance,cardboard_measured_mean,carpet_measured_mean,cardboard_measured_std,carpet_measured_std,cardboard_measured_sem_var,carpet_measured_sem_var,cardboard_rollouts,carpet_rollouts,critic_robustness,critic_lcb_robustness,cardboard_critic_q,carpet_critic_q,cardboard_critic_lcb_q,carpet_critic_lcb_q,cardboard_q1_mean,cardboard_q2_mean,carpet_q1_mean,carpet_q2_mean,cardboard_q_disagreement,carpet_q_disagreement,cardboard_state_uncertainty,carpet_state_uncertainty,mean_q_disagreement,mean_state_uncertainty,calibration_base,local_residual,local_residual_correction,calibrated_score,calibration_known_distance,measured_rank,critic_rank,critic_lcb_rank,calibrated_rank,individual_critic_sources,individual_ensemble_mean,individual_ensemble_std,individual_ensemble_robustness,individual_ensemble_disagreement,individual_own_robustness,individual_own_cardboard_q,individual_own_carpet_q,individual_mean_q_disagreement,individual_cardboard_mean,individual_cardboard_std,individual_carpet_mean,individual_carpet_std,individual_own_rank,individual_ensemble_rank,individual_calibrated_score,individual_calibrated_rank,row_type,proposal_checkpoint,proposal_tag,proposal_index,source,full_design,objective,objective_score,proposal_objective,proposal_score,gp_mean,gp_std,gp_cardboard_mean,gp_cardboard_std,gp_carpet_mean,gp_carpet_std,expected_improvement,ucb_score,acquisition_score,critic_prior_contribution,critic_prior_validity,individual_critic_prior_contribution,individual_critic_prior_validity,critic_objective_score,known_distance,best_measured_distance,critic_clipped_width,critic_clipped_angle,checkpoint_clip_distance,outside_checkpoint_bounds,iteration,particle,normalized_width,normalized_angle,cost
0,2026_05_18_DesignCycle0_ep76,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,longest completed design-0 carpet/cardboard run,0.63,5.3999999999999995,0.0,-2.402974843978882,0.1946098804473877,-5.000559329986572,5.195169448852539,1.45205557346344,-5.000559329986572,5.389779090881348,6.153844356536865,8.60737419128418,1.0519389046563044,1.85217227935791,36,40,2.4666011333465576,2.4508408904075623,1.9303808212280273,4.075262069702148,1.9143282175064087,4.06037896219641,1.976674199104309,1.9303808212280273,4.077489376068115,4.0982561111450195,0.04629337787628174,0.020766735076904297,0.01791703701019287,0.038765694946050644,0.03353005647659302,0.028341365978121758,8.42648635151913,-10.82939338684082,-8.122045040130615,0.3044413113885156,0.0,4,3,3,4,4,2.8365020751953125,0.6619412302970886,2.505531460046768,0.6619412302970886,1.9108189642429352,1.4364231824874878,3.3340065479278564,0.020804062485694885,2.2225465774536133,0.5623500943183899,4.678369045257568,0.9607284069061279,4,1,-3.493281234256763,4,sanity_initial_design,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2026_05_20_DesignCycle1_ep60,replay_2026_05_20_DesignCycle1_scale_ab_carpet_cardboard_design1_30ep.pt,completed design-1 run,0.63,5.3999999999999995,30.0,10.452309370040894,10.78514289855957,10.119476318359375,0.6656670570373535,0.5612368583679199,10.119476318359375,11.450810432434082,5.326351642608643,2.3030834197998047,0.9456673304239909,0.17680643399556478,30,30,2.600272834300995,2.5917577147483826,2.383612632751465,3.250253915786743,2.376450615003705,3.2376797893084586,2.3888542652130127,2.3848929405212402,3.250253915786743,3.274726390838623,0.003961324691772461,0.024472475051879883,0.024686746299266815,0.025824030861258507,0.014216899871826172,0.025255389511585236,11.214440317826806,-0.7621132731437683,-0.5715849548578262,10.64285536296898,0.0,2,2,2,2,4,2.4152207374572754,1.1571458578109741,1.8366478085517883,1.1571458578109741,2.8223363161087036,2.6612389087677,3.305628538131714,0.07122732698917389,2.258755683898926,1.1318473815917969,2.884615898132324,1.2416484355926514,3,2,10.613442180910724,3,sanity_initial_design,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2026_05_21_DesignCycle2_ep60,replay_2026_05_21_DesignCycle2_scale_ab_carpet_cardboard_design2_30ep.pt,completed design-2 run,0.9,7.714285714285714,30.0,19.473730087280273,20.952911376953125,17.994548797607422,2.958362579345703,1.3213863372802734,23.911273956298828,17.994548797607422,8.405156135559082,2.938796281814575,2.354888407389323,0.28788414001464846,30,30,2.644099712371826,2.629928767681122,2.51472806930542,3.032214641571045,2.502531173173338,3.0121207144111395,2.5401830673217773,2.51472806930542,3.033782720565796,3.0752224922180176,0.025454998016357422,0.04143977165222168,0.023332586511969566,0.038935936987400055,0.03344738483428955,0.031134262681007385,11.96963146636267,7.504059314727783,5.628044486045837,17.59767595240851,0.0,1,1,1,1,4,2.3302316665649414,1.4692927598953247,1.595585286617279,1.4692927598953247,3.532430110499263,3.6063876152038574,3.507777452468872,0.05641971528530121,2.310840606689453,1.499167561531067,2.4377095699310303,1.432492733001709,1,4,15.69743894939564,1,sanity_initial_design,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2026_05_21_DesignCycle3_ep60,replay_2026_05_21_DesignCycle3_scale_ab_carpet_cardboard_design3_30ep.pt,completed design-3 run,0.9,7.714285714285714,0.0,6.624849319458008,12.711324691772461,0.5383732914924622,12.172950744628906,0.5313974618911743,0.5383732914924622,24.884275436401367,4.051111221313477,3.9334897994995117,0.5470500946044922,0.5157447497049967,30,30,2.1639572083950043,2.153174966573715,1.7656663656234741,3.3588294982910156,1.7568468344397843,3.342159243300557,1.7796430587768555,1.7656663656234741,3.3616232872009277,3.3689045906066895,0.013976693153381348,0.007281303405761719,0.021301431581377983,0.059399716556072235,0.010628998279571533,0.040350575000047684,2.5373464502389638,4.087465763092041,3.0655993223190308,5.6029457725579945,0.0,3,4,4,3,4,2.1812355518341064,0.7571578025817871,1.802656650543213,0.7571578025817871,3.2205584049224854,2.6894454956054688,4.813897132873535,0.1958545297384262,1.7305331230163574,0.7266405820846558,3.5333430767059326,0.9209915995597839,2,3,11.3303140367507,2,sanity_initial_design,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.809999942779541,6.942856652396066,27.64236068725586,,,,,,,,,,,,,,2.501598536968231,2.4949398040771484,2.347938299179077,2.962578773498535,2.3412274569272995,2.9560766126960516,,,,,0.005622386932373047,0.0030961036682128906,0.02122098207473755,0.022912539541721344,0.004359245300292969,0.022066760808229446,9.298956632126838,5.095325946807861,3.821494460105896,13.120451092232734,,,,,,,2.238647222518921,1.263156533241272,1.607068955898285,,,,,,2.1543896198272705,1.2773830890655518,2.4914207458496094,1.2299994230270386,,,15.455248927294882,,selected_proposal,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,1,objective_pso_best,"0.809999942779541,27.64236068725586,0.809999942779541,27.64236068725586",calibrated,0.6093107007597447,expected_improvement,0.6093107007597447,14.413343428352192,6.1360976693792235,15.925428887226667,8.325046033649345,15.657430708573582,7.193884912696793,0.6093107007597447,20.549441097731417,0.6093107007597447,0.0,0.0,0.0,0.0,13.120451092232734,0.21488627791404724,0.21488627791404724,0.809999942779541,27.64236068725586,0.0,False,,,,,
,,,,0.8999999761581421,7.714285509926932,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,0.002211034828986474,expected_improvement,0.002211034828986474,19.46126934956917,0.256883790787895,,,,,0.002211034828986474,19.718153140357067,0.002211034828986474,0.0,0.0,0.0,0.0,,0.0,0.0,0.8999999761581421,30.0,0.0,False,0,0,1.0,1.0,-0.002211034828986474
,,,,0.8999549746513367,7.7138997827257425,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,0.0022063440578650208,expected_improvement,0.0022063440578650208,19.461067439307023,0.25688294845465587,,,,,0.0022063440578650208,19.71795038776168,0.0022063440578650208,0.0,0.0,0.0,0.0,,0.00010001659393310547,0.00010001659393310547,0.8999549746513367,30.0,0.0,False,0,1,0.9998999834060669,1.0,-0.0022063440578650208
,,,,0.8999999761581421,7.714285509926932,29.996999740600586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,0.0022217184107832105,expected_improvement,0.0022217184107832105,19.461259993357935,0.25708332320233535,,,,,0.0022217184107832105,19.71834331656027,0.0022217184107832105,0.0,0.0,0.0,0.0,,0.00010001659393310547,0.00010001659393310547,0.8999999761581421,29.996999740600586,0.0,False,0,2,1.0,0.9998999834060669,-0.0022217184107832105
,,,,0.8999999761581421,7.714285509926932,29.997879028320312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,0.002216368940623506,expected_improvement,0.002216368940623506,19.461264675483143,0.2569834881469539,,,,,0.002216368940623506,19.718248163630097,0.002216368940623506,0.0,0.0,0.0,0.0,,7.069110870361328e-05,7.069110870361328e-05,0.8999999761581421,29.997879028320312,0.0,False,0,3,1.0,0.9999293088912964,-0.002216368940623506
,,,,0.899968147277832,7.7140126909528455,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,0.0022076173897860353,expected_improvement,0.0022076173897860353,19.461126627948516,0.25688134471865065,,,,,0.0022076173897860353,19.718007972667166,0.0022076173897860353,0.0,0.0,0.0,0.0,,7.075071334838867e-05,7.075071334838867e-05,0.899968147277832,30.0,0.0,False,0,4,0.9999292492866516,1.0,-0.0022076173897860353
,,,,0.899968147277832,7.7140126909528455,29.997879028320312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,0.0022129454043971156,expected_improvement,0.0022129454043971156,19.461121953906787,0.2569810418596519,,,,,0.0022129454043971156,19.71810299576644,0.0022129454043971156,0.0,0.0,0.0,0.0,,0.00010001448390539736,0.00010001448390539736,0.899968147277832,29.997879028320312,0.0,False,0,5,0.9999292492866516,0.9999293088912964,-0.0022129454043971156
,,,,0.7502568364143372,6.4307728835514615,2.8769381046295166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,0.020010974981462676,expected_improvement,0.020010974981462676,4.139590009202292,6.686193601839373,,,,,0.020010974981462676,10.825783611041665,0.020010974981462676,0.0,0.0,0.0,0.0,,0.2839229702949524,0.9633957743644714,0.7502568364143372,2.8769381046295166,0.0,False,0,6,0.6672374606132507,0.09589793533086777,-0.020010974981462676
,,,,0.648827850818634,5.561381578445435,26.594396591186523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,0.25269359242730915,expected_improvement,0.25269359242730915,10.122798982436416,7.000687970090629,,,,,0.25269359242730915,17.123486952527045,0.25269359242730915,0.0,0.0,0.0,0.0,,0.1209849864244461,0.5695873498916626,0.648827850818634,26.594396591186523,0.0,False,0,7,0.44183966517448425,0.886479914188385,-0.25269359242730915
,,,,0.809999942779541,6.942856652396066,28.271291732788086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,0.6006483644410254,expected_improvement,0.6006483644410254,15.526642093125835,5.322290030443734,,,,,0.6006483644410254,20.84893212356957,0.6006483644410254,0.0,0.0,0.0,0.0,,0.20813582837581635,0.20813582837581635,0.809999942779541,28.271291732788086,0.0,False,1,0,0.800000011920929,0.9423763751983643,-0.6006483644410254
,,,,0.8099550008773804,6.942471436091831,29.209192276000977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,0.4764461178299342,expected_improvement,0.4764461178299342,16.863008759413383,3.9195009326511983,,,,,0.4764461178299342,20.78250969206458,0.4764461178299342,0.0,0.0,0.0,0.0,,0.2018287628889084,0.2018287628889084,0.8099550008773804,29.209192276000977,0.0,False,1,1,0.7998999953269958,0.973639726638794,-0.4764461178299342
,,,,0.809999942779541,6.942856652396066,27.64236068725586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,0.6093107007597447,expected_improvement,0.6093107007597447,14.413343428352192,6.1360976693792235,,,,,0.6093107007597447,20.549441097731417,0.6093107007597447,0.0,0.0,0.0,0.0,,0.21488627791404724,0.21488627791404724,0.809999942779541,27.64236068725586,0.0,False,1,2,0.800000011920929,0.9214119911193848,-0.6093107007597447
,,,,0.809999942779541,6.942856652396066,28.233360290527344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,0.6028511731954636,expected_improvement,0.6028511731954636,15.461756561416923,5.376593422865576,,,,,0.6028511731954636,20.838349984282498,0.6028511731954636,0.0,0.0,0.0,0.0,,0.20848943293094635,0.20848943293094635,0.809999942779541,28.233360290527344,0.0,False,1,3,0.800000011920929,0.9411120414733887,-0.6028511731954636
,,,,0.809968113899231,6.942583833421979,29.97384262084961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,0.3859265785724859,expected_improvement,0.3859265785724859,17.288546536290042,3.2955506952548683,,,,,0.3859265785724859,20.58409723154491,0.3859265785724859,0.0,0.0,0.0,0.0,,0.20007270574569702,0.20007270574569702,0.809968113899231,29.97384262084961,0.0,False,1,4,0.7999292612075806,0.9991281032562256,-0.3859265785724859
,,,,0.809968113899231,6.942583833421979,27.444162368774414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,0.6017733746203049,expected_improvement,0.6017733746203049,14.0579536423712,6.350595865311054,,,,,0.6017733746203049,20.408549507682253,0.6017733746203049,0.0,0.0,0.0,0.0,,0.2174544632434845,0.2174544632434845,0.809968113899231,27.444162368774414,0.0,False,1,5,0.7999292612075806,0.9148054122924805,-0.6017733746203049
