design_index,checkpoint,replay,reason,width_ratio,actual_width,attack_angle_deg,measured_robustness,measured_mean_return,measured_worst_terrain_return,measured_std_across_terrains,cardboard_measured_mean,carpet_measured_mean,cardboard_rollouts,carpet_rollouts,critic_robustness,critic_lcb_robustness,cardboard_critic_q,carpet_critic_q,cardboard_critic_lcb_q,carpet_critic_lcb_q,cardboard_q1_mean,cardboard_q2_mean,carpet_q1_mean,carpet_q2_mean,cardboard_q_disagreement,carpet_q_disagreement,cardboard_state_uncertainty,carpet_state_uncertainty,mean_q_disagreement,mean_state_uncertainty,calibration_base,local_residual,local_residual_correction,calibrated_score,calibration_known_distance,measured_rank,critic_rank,critic_lcb_rank,calibrated_rank,row_type,proposal_checkpoint,proposal_tag,proposal_index,source,full_design,objective,objective_score,known_distance,best_measured_distance,iteration,particle,normalized_width,normalized_angle,cost,cardboard_q,carpet_q,cardboard_lcb_q,carpet_lcb_q
0,2026_05_18_DesignCycle0_ep76,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,longest completed design-0 carpet/cardboard run,0.63,5.3999999999999995,0.0,-2.402974843978882,0.1946098804473877,-5.000559329986572,5.195169448852539,-5.000559329986572,5.389779090881348,36,40,2.4666011333465576,2.4508408904075623,1.9303808212280273,4.075262069702148,1.9143282175064087,4.06037896219641,1.976674199104309,1.9303808212280273,4.077489376068115,4.0982561111450195,0.04629337787628174,0.020766735076904297,0.01791703701019287,0.038765694946050644,0.03353005647659302,0.028341365978121758,8.42648635151913,-10.82939338684082,-8.122045040130615,0.3044413113885156,0.0,4,3,3,4,sanity_initial_design,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,,,,,,,,,,,,,
1,2026_05_20_DesignCycle1_ep60,replay_2026_05_20_DesignCycle1_scale_ab_carpet_cardboard_design1_30ep.pt,completed design-1 run,0.63,5.3999999999999995,30.0,10.452309370040894,10.78514289855957,10.119476318359375,0.6656670570373535,10.119476318359375,11.450810432434082,30,30,2.600272834300995,2.5917577147483826,2.383612632751465,3.250253915786743,2.376450615003705,3.2376797893084586,2.3888542652130127,2.3848929405212402,3.250253915786743,3.274726390838623,0.003961324691772461,0.024472475051879883,0.024686746299266815,0.025824030861258507,0.014216899871826172,0.025255389511585236,11.214440317826806,-0.7621132731437683,-0.5715849548578262,10.64285536296898,0.0,2,2,2,2,sanity_initial_design,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,,,,,,,,,,,,,
2,2026_05_21_DesignCycle2_ep60,replay_2026_05_21_DesignCycle2_scale_ab_carpet_cardboard_design2_30ep.pt,completed design-2 run,0.9,7.714285714285714,30.0,19.473730087280273,20.952911376953125,17.994548797607422,2.958362579345703,23.911273956298828,17.994548797607422,30,30,2.644099712371826,2.629928767681122,2.51472806930542,3.032214641571045,2.502531173173338,3.0121207144111395,2.5401830673217773,2.51472806930542,3.033782720565796,3.0752224922180176,0.025454998016357422,0.04143977165222168,0.023332586511969566,0.038935936987400055,0.03344738483428955,0.031134262681007385,11.96963146636267,7.504059314727783,5.628044486045837,17.59767595240851,0.0,1,1,1,1,sanity_initial_design,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,,,,,,,,,,,,,
3,2026_05_21_DesignCycle3_ep60,replay_2026_05_21_DesignCycle3_scale_ab_carpet_cardboard_design3_30ep.pt,completed design-3 run,0.9,7.714285714285714,0.0,6.624849319458008,12.711324691772461,0.5383732914924622,12.172950744628906,0.5383732914924622,24.884275436401367,30,30,2.1639572083950043,2.153174966573715,1.7656663656234741,3.3588294982910156,1.7568468344397843,3.342159243300557,1.7796430587768555,1.7656663656234741,3.3616232872009277,3.3689045906066895,0.013976693153381348,0.007281303405761719,0.021301431581377983,0.059399716556072235,0.010628998279571533,0.040350575000047684,2.5373464502389638,4.087465763092041,3.0655993223190308,5.6029457725579945,0.0,3,4,4,3,sanity_initial_design,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,,,,,,,,,,,,,
,,,,0.83328777551651,7.142466647284372,29.439393997192383,,,,,,,,,2.5792987942695618,2.567689061164856,2.4358584880828857,3.009620189666748,2.425902096554637,2.993049810640514,,,,,0.018084287643432617,0.03214430809020996,0.02174127846956253,0.03413720801472664,0.02511429786682129,0.027939243242144585,10.738256593592538,6.347725868225098,4.760794401168823,15.499050994761362,,,,,,selected_proposal,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,1,ranked_particle,"0.83328777551651,29.439393997192383,0.83328777551651,29.439393997192383",calibrated,15.499050994761362,0.14942243695259094,0.14942243695259094,,,,,,,,,
,,,,0.8999999761581421,7.714285509926932,30.0,,,,,,,,,2.644099712371826,2.629928767681122,,,,,2.5401830673217773,2.51472806930542,3.033782720565796,3.0752224922180176,0.025454998016357422,0.04143977165222168,0.023332586511969566,0.038935936987400055,0.03344738483428955,0.031134262681007385,11.96963146636267,7.504059314727783,5.628044486045837,17.59767595240851,0.0,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,17.59767595240851,0.0,0.0,0,0,1.0,1.0,-17.59767595240851,2.51472806930542,3.032214641571045,2.502531173173338,3.0121207144111395
,,,,0.6299999952316284,5.399999959128244,0.0,,,,,,,,,2.4666011333465576,2.4508408904075623,,,,,1.976674199104309,1.9303808212280273,4.077489376068115,4.0982561111450195,0.04629337787628174,0.020766735076904297,0.01791703701019287,0.038765694946050644,0.03353005647659302,0.028341365978121758,8.42648635151913,-10.82939338684082,-8.122045040130615,0.3044413113885156,0.0,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,0.3044413113885156,0.0,1.1661903858184814,0,1,0.40000003576278687,0.0,-0.3044413113885156,1.9303808212280273,4.075262069702148,1.9143282175064087,4.06037896219641
,,,,0.6299999952316284,5.399999959128244,30.0,,,,,,,,,2.600272834300995,2.5917577147483826,,,,,2.3888542652130127,2.3848929405212402,3.250253915786743,3.274726390838623,0.003961324691772461,0.024472475051879883,0.024686746299266815,0.025824030861258507,0.014216899871826172,0.025255389511585236,11.214440317826806,-0.7621132731437683,-0.5715849548578262,10.64285536296898,0.0,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,10.64285536296898,0.0,0.5999999642372131,0,2,0.40000003576278687,1.0,-10.64285536296898,2.383612632751465,3.250253915786743,2.376450615003705,3.2376797893084586
,,,,0.8999999761581421,7.714285509926932,0.0,,,,,,,,,2.1639572083950043,2.153174966573715,,,,,1.7796430587768555,1.7656663656234741,3.3616232872009277,3.3689045906066895,0.013976693153381348,0.007281303405761719,0.021301431581377983,0.059399716556072235,0.010628998279571533,0.040350575000047684,2.5373464502389638,4.087465763092041,3.0655993223190308,5.6029457725579945,0.0,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,5.6029457725579945,0.0,1.0,0,3,1.0,0.0,-5.6029457725579945,1.7656663656234741,3.3588294982910156,1.7568468344397843,3.342159243300557
,,,,0.7527401447296143,6.452058383396693,28.254085540771484,,,,,,,,,2.506132483482361,2.4977685809135437,,,,,2.336528778076172,2.3451743125915527,3.039475202560425,3.0156145095825195,0.00864553451538086,0.023860692977905273,0.021737640723586082,0.018814638257026672,0.016253113746643066,0.020276140421628952,9.354922267441992,2.128002405166626,1.5960018038749695,10.950924071316962,0.27889543771743774,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,10.950924071316962,0.27889543771743774,0.33237871527671814,0,4,0.672756016254425,0.9418028593063354,-10.950924071316962,2.3363051414489746,3.0156145095825195,2.328709347639233,3.0049456767737865
,,,,0.56171053647995,4.814661741256714,28.466434478759766,,,,,,,,,2.572636127471924,2.5588148832321167,,,,,2.339205265045166,2.318537712097168,3.3349313735961914,3.3896424770355225,0.020667552947998047,0.054711103439331055,0.029859961941838264,0.014846280217170715,0.03768932819366455,0.022353120148181915,10.56268636142876,-0.5983068943023682,-0.4487301707267761,10.113956190701984,0.16013282537460327,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,10.113956190701984,0.16013282537460327,0.7534903287887573,0,5,0.2482457160949707,0.9488811492919922,-10.113956190701984,2.318537712097168,3.3349313735961914,2.305905833374709,3.317542027682066
,,,,0.7502568364143372,6.4307728835514615,2.8769381046295166,,,,,,,,,2.1981225311756134,2.1852015554904938,,,,,1.802345633506775,1.77694571018219,3.497051239013672,3.461653232574463,0.02539992332458496,0.035398006439208984,0.01940928027033806,0.0369100384414196,0.030398964881896973,0.02815965935587883,3.1709731020991114,-4.054271697998047,-3.040703773498535,0.13026932860057627,0.2839229702949524,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,0.13026932860057627,0.2839229702949524,0.9633957743644714,0,6,0.6672374606132507,0.09589793533086777,-0.13026932860057627,1.77694571018219,3.461653232574463,1.7657434092834592,3.4435762213543057
,,,,0.648827850818634,5.561381578445435,26.594396591186523,,,,,,,,,2.460868179798126,2.45270574092865,,,,,2.243837833404541,2.2458977699279785,3.140648365020752,3.1167240142822266,0.0020599365234375,0.02392435073852539,0.023214243352413177,0.030853621661663055,0.012992143630981445,0.027033932507038116,8.463381288877798,-0.5295148491859436,-0.3971361368894577,8.06624515198834,0.1209849864244461,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,8.06624515198834,0.1209849864244461,0.5695873498916626,0,7,0.44183966517448425,0.886479914188385,-8.06624515198834,2.2422497272491455,3.1167240142822266,2.235931182280183,3.1030295211821795
,,,,0.869328498840332,7.451387132917131,27.54364013671875,,,,,,,,,2.5238820910453796,2.5133530497550964,,,,,2.404613971710205,2.3837430477142334,2.951904773712158,2.961880683898926,0.02087092399597168,0.009975910186767578,0.022711563855409622,0.027740292251110077,0.015423417091369629,0.02522592805325985,9.663251538434643,6.982217311859131,5.236662983894348,14.899914522328991,0.10653518885374069,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,14.899914522328991,0.10653518885374069,0.10653518885374069,1,0,0.931841254234314,0.918121337890625,-14.899914522328991,2.3837430477142334,2.94429874420166,2.372847425751388,2.9348696935921907
,,,,0.7200000286102295,6.17142881665911,6.0,,,,,,,,,2.1652136743068695,2.1543928384780884,,,,,1.7853891849517822,1.781338095664978,3.3779726028442383,3.3179423809051514,0.004051089286804199,0.060030221939086914,0.021784478798508644,0.035595640540122986,0.03204065561294556,0.02869005873799324,2.561441307770238,-5.275380611419678,-3.9565354585647583,-1.3950941507945203,0.282842755317688,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,-1.3950941507945203,0.282842755317688,0.8944271802902222,1,1,0.6000000238418579,0.20000000298023224,1.3950941507945203,1.7809706926345825,3.3179423809051514,1.7745118006132543,3.294035915285349
,,,,0.7200000286102295,6.17142881665911,28.564807891845703,,,,,,,,,2.5169105529785156,2.508309781551361,,,,,2.3370769023895264,2.345423936843872,3.0870466232299805,3.0576353073120117,0.008347034454345703,0.02941131591796875,0.021397078409790993,0.01897093839943409,0.018879175186157227,0.02018400840461254,9.56347353351913,0.6480283737182617,0.4860212802886963,10.049494813807826,0.20564207434654236,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,10.049494813807826,0.20564207434654236,0.40285056829452515,1,2,0.6000000238418579,0.9521602392196655,-10.049494813807826,2.3366689682006836,3.0576353073120117,2.3292329399846494,3.045539743732661
,,,,0.8967922925949097,7.68679107938494,4.255464553833008,,,,,,,,,2.0801181495189667,2.0639765560626984,,,,,1.7482548952102661,1.768654465675354,3.1406097412109375,3.0757076740264893,0.02039957046508789,0.06490206718444824,0.024093911051750183,0.05988030880689621,0.042650818824768066,0.041987109929323196,0.7726099573765381,3.3548738956451416,2.516155421733856,3.2887653791103943,0.14202781021595,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,3.2887653791103943,0.14202781021595,0.858180820941925,1,3,0.9928717613220215,0.14184881746768951,-3.2887653791103943,1.7482548952102661,3.0757076740264893,1.7371315248310566,3.044512080028653
,,,,0.83328777551651,7.142466647284372,29.439393997192383,,,,,,,,,2.5792987942695618,2.567689061164856,,,,,2.4539427757263184,2.4358584880828857,3.009620189666748,3.041764497756958,0.018084287643432617,0.03214430809020996,0.02174127846956253,0.03413720801472664,0.02511429786682129,0.027939243242144585,10.738256593592538,6.347725868225098,4.760794401168823,15.499050994761362,0.14942243695259094,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,15.499050994761362,0.14942243695259094,0.14942243695259094,1,4,0.8517506718635559,0.9813131093978882,-15.499050994761362,2.4358584880828857,3.009620189666748,2.425902096554637,2.993049810640514
,,,,0.651710569858551,5.58609059878758,28.689525604248047,,,,,,,,,2.5421798825263977,2.536074161529541,,,,,2.332881450653076,2.3331196308135986,3.180013656616211,3.1787571907043457,0.00023818016052246094,0.0012564659118652344,0.022796092554926872,0.027334261685609818,0.0007473230361938477,0.02506517618894577,10.112774964660005,-0.6793050765991211,-0.5094788074493408,9.603296157210664,0.0650830790400505,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,9.603296157210664,0.0650830790400505,0.5534807443618774,1,5,0.44824570417404175,0.9563175439834595,-9.603296157210664,2.330296754837036,3.1778297424316406,2.324538186658174,3.170682060532272
,,,,0.8402568101882935,7.202201230185373,8.876937866210938,,,,,,,,,2.027037411928177,2.0046094059944153,,,,,1.7480489015579224,1.7740427255630493,3.006138324737549,2.8640031814575195,0.025993824005126953,0.1421351432800293,0.023253392428159714,0.06896991282701492,0.08406448364257812,0.04611165076494217,-0.40193312699602046,1.0545823574066162,0.7909367680549622,0.3890036410589417,0.32431697845458984,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,0.3890036410589417,0.32431697845458984,0.7165092825889587,1,6,0.8672374486923218,0.2958979308605194,-0.3890036410589417,1.7480489015579224,2.8640031814575195,1.7357370974496007,2.8112269174307585
,,,,0.7388278245925903,6.332809925079346,29.344402313232422,,,,,,,,,2.5516600608825684,2.544503152370453,,,,,2.3781728744506836,2.3845925331115723,3.088385581970215,3.0736289024353027,0.006419658660888672,0.01475667953491211,0.021128075197339058,0.017108377069234848,0.01058816909790039,0.019118227064609528,10.279537440019624,1.4439551830291748,1.082966387271881,11.362503827291505,0.242824986577034,,,,,pso_particle,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,,,,calibrated,11.362503827291505,0.242824986577034,0.3588263988494873,1,7,0.6418396830558777,0.9781467318534851,-11.362503827291505,2.3776955604553223,3.0735535621643066,2.3708086269907653,3.06558729801327
