role,episode,terrain,update_in_episode,replay_size,qf1_loss,qf2_loss,policy_loss,alpha,alpha_loss,target_entropy_internal,target_entropy_paper,q_target_mean,q_target_std,policy_mean_abs,policy_log_std_mean,train_update
individual,4,carpet,1,700,0.5798191428184509,0.5803172588348389,-0.48480984568595886,0.09990005195140839,-27.294858932495117,-7.0,7.0,0.5910228490829468,0.48043546080589294,7.463133806595579e-05,-9.428284101886675e-05,1
individual,4,carpet,2,700,0.5023515820503235,0.502545177936554,-0.4677947461605072,0.0998002141714096,-26.814180374145508,-7.0,7.0,0.47726428508758545,0.5284669995307922,0.002108226763084531,-0.0005050005856901407,2
individual,4,carpet,3,700,0.5524938106536865,0.552431583404541,-0.47264358401298523,0.09970046579837799,-26.798662185668945,-7.0,7.0,0.5125367641448975,0.5489463806152344,0.0038302186876535416,-0.002466931939125061,3
individual,4,carpet,4,700,0.5093836784362793,0.5095997452735901,-0.47042912244796753,0.09960082173347473,-26.533626556396484,-7.0,7.0,0.6050702333450317,0.4115876257419586,0.006652539130300283,-0.005704421550035477,4
individual,4,carpet,5,700,0.5514003038406372,0.5502323508262634,-0.5017635822296143,0.09950128197669983,-26.947092056274414,-7.0,7.0,0.5804628133773804,0.5053192377090454,0.01028128620237112,-0.011265098117291927,5
individual,4,carpet,6,700,0.5790019035339355,0.5794142484664917,-0.524891197681427,0.09940183907747269,-27.0067195892334,-7.0,7.0,0.6423246264457703,0.48907917737960815,0.01634189859032631,-0.019556472077965736,6
individual,4,carpet,7,700,0.33197271823883057,0.3318738043308258,-0.5568760633468628,0.0993024930357933,-26.98414421081543,-7.0,7.0,0.34638601541519165,0.5193009972572327,0.022924572229385376,-0.03077786974608898,7
individual,4,carpet,8,700,0.4155585765838623,0.4156481623649597,-0.6085267066955566,0.09920324385166168,-27.17913818359375,-7.0,7.0,0.5460175275802612,0.5018345713615417,0.03081156499683857,-0.045444000512361526,8
individual,4,carpet,9,700,0.38719889521598816,0.3767331540584564,-0.6607741713523865,0.09910409897565842,-26.852787017822266,-7.0,7.0,0.6078068614006042,0.47519588470458984,0.035919252783060074,-0.05852743610739708,9
individual,4,carpet,10,700,0.30785420536994934,0.301067590713501,-0.7712060213088989,0.09900505095720291,-27.300457000732422,-7.0,7.0,0.6017383337020874,0.467916339635849,0.04046003147959709,-0.07378475368022919,10
individual,4,carpet,11,700,0.3727746903896332,0.3564694821834564,-0.8768435716629028,0.09890610724687576,-27.131820678710938,-7.0,7.0,0.7955068945884705,0.48934468626976013,0.045828383415937424,-0.0888521745800972,11
individual,4,carpet,12,700,0.22600050270557404,0.21837760508060455,-1.0345795154571533,0.09880725294351578,-27.039758682250977,-7.0,7.0,0.5687391757965088,0.49793151021003723,0.04664251580834389,-0.09742642939090729,12
individual,4,carpet,13,700,0.26600661873817444,0.2538679540157318,-1.207253098487854,0.09870850294828415,-27.390567779541016,-7.0,7.0,0.5944225788116455,0.4930635988712311,0.04471161961555481,-0.10057060420513153,13
individual,4,carpet,14,700,0.283092737197876,0.26348650455474854,-1.3676611185073853,0.09860984981060028,-27.08383560180664,-7.0,7.0,0.6160068511962891,0.4541531503200531,0.04369156435132027,-0.0998404249548912,14
individual,4,carpet,15,700,0.20739619433879852,0.2088039368391037,-1.3504712581634521,0.09851130098104477,-27.23895263671875,-7.0,7.0,0.6250360012054443,0.39428022503852844,0.038314662873744965,-0.08903124183416367,15
individual,4,carpet,16,700,0.22346407175064087,0.21903710067272186,-1.2806552648544312,0.09841284155845642,-27.094703674316406,-7.0,7.0,0.6014555096626282,0.45334383845329285,0.03324096277356148,-0.07757711410522461,16
