phase,terrain,policy_role,episode,episode_in_terrain,step,reward,individual_alpha,population_alpha,layout,A_width_ratio,A_attack_angle_deg,B_width_ratio,B_attack_angle_deg,Target_Delta_X_Norm,Target_Delta_Y_Norm,Target_Forward_Remaining_Norm,Theta_X_Norm,Theta_Y_Norm,Theta_Z_Norm,Motor1_Norm,Motor2_Norm,Motor3_Norm,Motor4_Norm,Motor5_Norm,Motor6_Norm,Motor7_Norm,A_Width_Norm,A_Angle_Norm,B_Width_Norm,B_Angle_Norm,Delta_Width_Norm,Delta_Angle_Norm,Terrain_Carpet,Terrain_Cardboard,Motor1_Action,Motor2_Action,Motor3_Action,Motor4_Action,Motor5_Action,Motor6_Action,Motor7_Action,position_x_cm,position_y_cm,position_z_cm,orientation_x_rad,orientation_y_rad,orientation_z_rad,start_x_cm,start_y_cm,start_z_cm,dmax_cm,delta_x_cm,delta_y_cm,delta_forward_cm,forward_scale_cm,position_observation_mode,theta_x_rad,theta_y_rad,theta_z_rad,target_x_cm,target_y_cm,target_z_cm,motor1_deg,motor2_deg,motor3_deg,motor4_deg,motor5_deg,motor6_deg,motor7_deg,motor1_angle_deg,motor2_angle_deg,motor3_angle_deg,motor4_angle_deg,motor5_angle_deg,motor6_angle_deg,motor7_angle_deg,forward_curr_cm,forward_target_cm,distance_error_cm,forward_reward,yaw_reward,yaw_penalty_rad,yaw_rad,success_bonus,time_penalty,yaw_penalty_axis,terminated_by_target,truncated_by_episode_length
train,carpet,individual,1,1,1,0.4763152529040746,0.09999999403953552,0.09999999403953552,homogeneous,0.63,0.0,0.63,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.043130990117788315,-0.09105431288480759,0.0734824389219284,-0.08626198023557663,0.15015974640846252,-0.8258786201477051,0.06549520790576935,-0.20000000298023224,-1.0,-0.20000000298023224,-1.0,0.0,0.0,1.0,0.0,0.4693663418292999,-0.45971789956092834,0.5737157464027405,-0.6340675950050354,0.41136881709098816,0.5053281784057617,0.12790362536907196,185.49832153320312,5.433905124664307,-5.1964802742004395,2.790894031524658,2.6196157932281494,0.13043327629566193,180.10423278808594,5.449643135070801,-7.432684421539307,40.0,-5.3940887451171875,0.01573801040649414,79.80352020263672,40.0,target_relative,0.011723518371582031,-0.19237565994262695,0.07006525993347168,180.10423278808594,5.449643135070801,-85.0,25.479232788085938,-25.74281120300293,29.960065841674805,-32.06869125366211,19.944089889526367,-17.923322677612305,3.865814685821533,25.479232788085938,-25.74281120300293,29.960065841674805,-32.06869125366211,19.944089889526367,-17.923322677612305,3.865814685821533,-2.236204147338867,77.5673155784607,79.80351972579956,0.3696909128467016,0.10762434005737304,0.19237565994262695,-0.19237565994262695,0.0,-0.001,y,False,False
train,carpet,individual,1,1,2,0.12765853309815123,0.09999999403953552,0.09999999403953552,homogeneous,0.63,0.0,0.63,0.0,-0.13485221564769745,0.0003934502601623535,1.0,0.003731711767613888,-0.06123507395386696,0.02230246365070343,0.4632587730884552,-0.46805110573768616,0.5447284579277039,-0.5830671191215515,0.3626198172569275,-0.3258785903453827,0.0702875405550003,-0.20000000298023224,-1.0,-0.20000000298023224,-1.0,0.0,0.0,1.0,0.0,0.6641498804092407,0.4585047960281372,0.454698771238327,0.7241033911705017,0.76554274559021,-0.4549594521522522,0.47267863154411316,190.56402587890625,5.268659591674805,-3.3197686672210693,2.7906429767608643,2.2879035472869873,0.16903536021709442,180.10423278808594,5.449643135070801,-7.432684421539307,40.0,-10.459793090820312,0.1809835433959961,81.68022918701172,40.0,target_relative,0.011472463607788086,-0.5240879058837891,0.10866737365722656,180.10423278808594,5.449643135070801,-85.0,32.94728469848633,-12.739616394042969,20.822683334350586,-15.023961067199707,28.642173767089844,-26.972843170166016,24.86421775817871,32.94728469848633,-12.739616394042969,20.822683334350586,-15.023961067199707,28.642173767089844,-26.972843170166016,24.86421775817871,-4.112915754318237,77.5673155784607,81.68023133277893,0.3527464389819403,-0.22408790588378907,0.5240879058837891,-0.5240879058837891,0.0,-0.001,y,False,False
train,carpet,individual,1,1,3,-0.4021453723001191,0.09999999403953552,0.09999999403953552,homogeneous,0.63,0.0,0.63,0.0,-0.26149481534957886,0.004524588584899902,1.0,0.0036517984699457884,-0.16682235896587372,0.034589897841215134,0.5990415215492249,-0.2316293865442276,0.3785942494869232,-0.27316293120384216,0.5207667946815491,-0.4904153347015381,0.45207667350769043,-0.20000000298023224,-1.0,-0.20000000298023224,-1.0,0.0,0.0,1.0,0.0,0.7939608693122864,-0.16551847755908966,0.7866652011871338,-0.06030527874827385,0.9518288969993591,0.6429660320281982,0.9827694296836853,197.4615020751953,5.223293304443359,3.6463699340820312,3.022381067276001,1.8144798278808594,0.3180956542491913,180.10423278808594,5.449643135070801,-7.432684421539307,40.0,-17.357269287109375,0.2263498306274414,88.64636993408203,40.0,target_relative,0.2432105541229248,-0.997511625289917,0.25772762298583984,180.10423278808594,5.449643135070801,-85.0,41.82108688354492,-12.739616394042969,20.91054344177246,-15.023961067199707,28.55431365966797,-23.194889068603516,51.573482513427734,41.82108688354492,-12.739616394042969,20.91054344177246,-15.023961067199707,28.55431365966797,-23.194889068603516,51.573482513427734,-11.079054355621338,77.5673155784607,88.64636993408203,0.29636625298979785,-0.697511625289917,0.997511625289917,-0.997511625289917,0.0,-0.001,y,False,False
train,carpet,individual,1,1,4,0.2620609014194444,0.09999999403953552,0.09999999403953552,homogeneous,0.63,0.0,0.63,0.0,-0.43393173813819885,0.005658745765686035,1.0,0.0774163231253624,-0.31751781702041626,0.08203724771738052,0.7603834271430969,-0.2316293865442276,0.38019171357154846,-0.27316293120384216,0.5191693305969238,-0.42172524333000183,0.9376996755599976,-0.20000000298023224,-1.0,-0.20000000298023224,-1.0,0.0,0.0,1.0,0.0,0.25121617317199707,-0.21789301931858063,-0.0014252548571676016,-0.6251545548439026,0.30610471963882446,-0.5759587287902832,0.028444096446037292,192.11181640625,5.447711944580078,-2.7728562355041504,2.8783390522003174,2.427096128463745,0.23995740711688995,180.10423278808594,5.449643135070801,-7.432684421539307,40.0,-12.007583618164062,0.0019311904907226562,82.22714233398438,40.0,target_relative,0.09916853904724121,-0.38489532470703125,0.17958927154541016,180.10423278808594,5.449643135070801,-85.0,17.132587432861328,-8.522364616394043,5.974441051483154,-33.21086120605469,18.186901092529297,-27.5,3.953674077987671,17.132587432861328,-8.522364616394043,5.974441051483154,-33.21086120605469,18.186901092529297,-27.5,3.953674077987671,-4.659828186035156,77.5673155784607,82.22714376449585,0.34795622612647564,-0.08489532470703126,0.38489532470703125,-0.38489532470703125,0.0,-0.001,y,False,False
train,carpet,individual,1,1,5,0.24682862676162465,0.09999999403953552,0.09999999403953552,homogeneous,0.63,0.0,0.63,0.0,-0.3001895844936371,4.8279762268066406e-05,1.0,0.031566325575113297,-0.12251598387956619,0.05716503784060478,0.3115015923976898,-0.15495207905769348,0.10862620174884796,-0.6038338541984558,0.33067092299461365,-0.5,0.07188498228788376,-0.20000000298023224,-1.0,-0.20000000298023224,-1.0,0.0,0.0,1.0,0.0,-0.49408528208732605,0.8798602223396301,0.8226408362388611,-0.8250225782394409,-0.6291463375091553,0.36537790298461914,-0.0831446573138237,191.4990692138672,5.380390167236328,-0.24316953122615814,2.775669813156128,2.433187961578369,0.1382269412279129,180.10423278808594,5.449643135070801,-7.432684421539307,40.0,-11.39483642578125,0.06925296783447266,84.75682830810547,40.0,target_relative,-0.003500699996948242,-0.3788034915924072,0.07785892486572266,180.10423278808594,5.449643135070801,-85.0,-28.290735244750977,26.709264755249023,30.926517486572266,-38.04313278198242,-13.881789207458496,13.354632377624512,-5.535143852233887,-28.290735244750977,26.709264755249023,30.926517486572266,-38.04313278198242,-13.881789207458496,13.354632377624512,-5.535143852233887,-7.1895148903131485,77.5673155784607,84.75683046877384,0.3266321183540319,-0.07880349159240724,0.3788034915924072,-0.3788034915924072,0.0,-0.001,y,False,False
train,carpet,individual,1,1,6,-0.09688457924938076,0.09999999403953552,0.09999999403953552,homogeneous,0.63,0.0,0.63,0.0,-0.2848709225654602,0.0017313242424279451,1.0,-0.0011143074370920658,-0.1205768957734108,0.024783264845609665,-0.5143769979476929,0.48562300205230713,0.5623003244400024,-0.6916933059692383,-0.2523961663246155,0.24281150102615356,-0.1006389781832695,-0.20000000298023224,-1.0,-0.20000000298023224,-1.0,0.0,0.0,1.0,0.0,-0.8465327620506287,0.3462291359901428,-0.9585049748420715,-0.9192093014717102,0.09429807960987091,0.42809298634529114,0.36871859431266785,196.03895568847656,5.545633316040039,3.6278531551361084,3.0718185901641846,2.119603395462036,0.3677077293395996,180.10423278808594,5.449643135070801,-7.432684421539307,40.0,-15.934722900390625,-0.09599018096923828,88.62785339355469,40.0,target_relative,0.2926480770111084,-0.6923880577087402,0.3073396682739258,180.10423278808594,5.449643135070801,-85.0,-42.348243713378906,27.236421585083008,13.09105396270752,-44.7204475402832,3.5143771171569824,14.760382652282715,16.95686912536621,-42.348243713378906,27.236421585083008,13.09105396270752,-44.7204475402832,3.5143771171569824,14.760382652282715,16.95686912536621,-11.060537576675415,77.5673155784607,88.62785315513611,0.2965034784593595,-0.39238805770874025,0.6923880577087402,-0.6923880577087402,0.0,-0.001,y,False,False
train,carpet,individual,1,1,7,0.4585428052363592,0.09999999403953552,0.09999999403953552,homogeneous,0.63,0.0,0.63,0.0,-0.39836806058883667,-0.0023997544776648283,1.0,0.09315277636051178,-0.22039395570755005,0.09782925248146057,-0.7699680924415588,0.49520766735076904,0.2380191683769226,-0.8130990266799927,0.0638977661728859,0.2683705985546112,0.3083067238330841,-0.20000000298023224,-1.0,-0.20000000298023224,-1.0,0.0,0.0,1.0,0.0,-0.16889333724975586,0.7991697788238525,-0.14001014828681946,-0.8953061699867249,0.6462522149085999,-0.215205579996109,-0.4512217044830322,190.46011352539062,5.369863986968994,-0.6751261949539185,2.792724609375,2.6413557529449463,0.1002860963344574,180.10423278808594,5.449643135070801,-7.432684421539307,40.0,-10.355880737304688,0.07977914810180664,84.32487487792969,40.0,target_relative,0.013554096221923828,-0.17063570022583008,0.039917945861816406,180.10423278808594,5.449643135070801,-85.0,-10.543130874633789,43.929710388183594,-7.64376974105835,-49.20127868652344,35.4073486328125,-9.840255737304688,-24.161340713500977,-10.543130874633789,43.929710388183594,-7.64376974105835,-49.20127868652344,35.4073486328125,-9.840255737304688,-24.161340713500977,-6.757558226585388,77.5673155784607,84.32487380504608,0.3301785054621893,0.1293642997741699,0.17063570022583008,-0.17063570022583008,0.0,-0.001,y,False,False
train,carpet,individual,1,1,8,0.3899419651866222,0.09999999403953552,0.09999999403953552,homogeneous,0.63,0.0,0.63,0.0,-0.25889700651168823,0.0019944787491112947,1.0,0.004314402583986521,-0.054315030574798584,0.012706276029348373,-0.1916932910680771,0.7987220287322998,-0.13897763192653656,-0.894568681716919,0.6437699794769287,-0.17891374230384827,-0.4392971098423004,-0.20000000298023224,-1.0,-0.20000000298023224,-1.0,0.0,0.0,1.0,0.0,0.7893611788749695,-0.688485324382782,0.6984983086585999,0.3660494089126587,0.3939315974712372,-0.874058187007904,-0.6578207015991211,182.63453674316406,5.537715911865234,-4.952844142913818,2.7685394287109375,3.0884954929351807,-0.03417591005563736,180.10423278808594,5.449643135070801,-7.432684421539307,40.0,-2.530303955078125,-0.0880727767944336,80.04715728759766,40.0,target_relative,-0.010631084442138672,0.2765040397644043,-0.0945439338684082,180.10423278808594,5.449643135070801,-85.0,44.45686721801758,-27.675718307495117,36.28594207763672,-25.391372680664062,22.316293716430664,-36.198081970214844,-34.616615295410156,44.45686721801758,-27.675718307495117,36.28594207763672,-25.391372680664062,22.316293716430664,-36.198081970214844,-34.616615295410156,-2.4798402786254883,77.5673155784607,80.04715585708618,0.36744600495102653,0.023495960235595692,0.2765040397644043,0.2765040397644043,0.0,-0.001,y,False,False
train,carpet,individual,1,1,9,-0.0021955952547743065,0.09999999403953552,0.09999999403953552,homogeneous,0.63,0.0,0.63,0.0,-0.063257597386837,-0.0022018193267285824,1.0,-0.0033839792013168335,0.08801396936178207,-0.030094267800450325,0.8083066940307617,-0.5031948685646057,0.659744381904602,-0.46166130900382996,0.4057507812976837,-0.6581469178199768,-0.6293929815292358,-0.20000000298023224,-1.0,-0.20000000298023224,-1.0,0.0,0.0,1.0,0.0,-0.668759822845459,-0.8971958160400391,-0.7390221953392029,-0.05330450460314751,-0.10448521375656128,-0.9367277026176453,-0.8799844980239868,175.35174560546875,5.539669036865234,-3.327130079269409,2.7938151359558105,-2.8171870708465576,-0.16103380918502808,180.10423278808594,5.449643135070801,-7.432684421539307,40.0,4.7524871826171875,-0.0900259017944336,81.67286682128906,40.0,target_relative,0.014644622802734375,0.6540069580078125,-0.22140192985534668,180.10423278808594,5.449643135070801,-85.0,-15.19968032836914,-41.11820983886719,18.011180877685547,-1.5814696550369263,-4.392971515655518,-47.883384704589844,-47.180511474609375,-15.19968032836914,-41.11820983886719,18.011180877685547,-1.5814696550369263,-4.392971515655518,-47.883384704589844,-47.180511474609375,-4.1055543422698975,77.5673155784607,81.67286992073059,0.3528113627530382,-0.3540069580078125,0.6540069580078125,0.6540069580078125,0.0,-0.001,y,False,False
train,carpet,individual,1,1,10,0.5002798477340243,0.09999999403953552,0.09999999403953552,homogeneous,0.63,0.0,0.63,0.0,0.1188121810555458,-0.0022506476379930973,1.0,0.004661527927964926,0.2081768810749054,-0.07047442346811295,-0.27635782957077026,-0.7476038336753845,0.32747602462768555,-0.028753994032740593,-0.07987220585346222,-0.8706070184707642,-0.8578274846076965,-0.20000000298023224,-1.0,-0.20000000298023224,-1.0,0.0,0.0,1.0,0.0,-0.27862563729286194,-0.19179955124855042,0.4219013452529907,0.1692754626274109,-0.920609176158905,-0.8596462607383728,0.981035053730011,183.8327178955078,5.561155796051025,-6.670616626739502,2.843615770339966,2.629701852798462,0.20358425378799438,180.10423278808594,5.449643135070801,-7.432684421539307,40.0,-3.728485107421875,-0.11151266098022461,78.32938385009766,40.0,target_relative,0.06444525718688965,-0.18228960037231445,0.14321613311767578,180.10423278808594,5.449643135070801,-85.0,-18.71405792236328,-15.111822128295898,19.5926513671875,11.773162841796875,-37.69169235229492,-47.0926513671875,26.7971248626709,-18.71405792236328,-15.111822128295898,19.5926513671875,11.773162841796875,-37.69169235229492,-47.0926513671875,26.7971248626709,-0.7620677947998047,77.5673155784607,78.3293833732605,0.3835694481063388,0.11771039962768554,0.18228960037231445,-0.18228960037231445,0.0,-0.001,y,False,False
