phase,terrain,policy_role,episode,episode_in_terrain,step,reward,individual_alpha,population_alpha,layout,A_width_ratio,A_attack_angle_deg,B_width_ratio,B_attack_angle_deg,Target_Delta_X_Norm,Target_Delta_Y_Norm,Target_Forward_Remaining_Norm,Theta_X_Norm,Theta_Y_Norm,Theta_Z_Norm,Motor1_Norm,Motor2_Norm,Motor3_Norm,Motor4_Norm,Motor5_Norm,Motor6_Norm,Motor7_Norm,A_Width_Norm,A_Angle_Norm,B_Width_Norm,B_Angle_Norm,Delta_Width_Norm,Delta_Angle_Norm,Terrain_Carpet,Terrain_Cardboard,Motor1_Action,Motor2_Action,Motor3_Action,Motor4_Action,Motor5_Action,Motor6_Action,Motor7_Action,position_x_cm,position_y_cm,position_z_cm,orientation_x_rad,orientation_y_rad,orientation_z_rad,start_x_cm,start_y_cm,start_z_cm,dmax_cm,delta_x_cm,delta_y_cm,delta_forward_cm,forward_scale_cm,position_observation_mode,theta_x_rad,theta_y_rad,theta_z_rad,target_x_cm,target_y_cm,target_z_cm,motor1_deg,motor2_deg,motor3_deg,motor4_deg,motor5_deg,motor6_deg,motor7_deg,motor1_angle_deg,motor2_angle_deg,motor3_angle_deg,motor4_angle_deg,motor5_angle_deg,motor6_angle_deg,motor7_angle_deg,forward_curr_cm,forward_target_cm,distance_error_cm,forward_reward,yaw_reward,yaw_penalty_rad,yaw_rad,success_bonus,time_penalty,yaw_penalty_axis,terminated_by_target,truncated_by_episode_length
train,carpet,individual,1,1,1,0.35249165698513923,0.009999999776482582,0.009999999776482582,homogeneous,0.63,30.0,0.63,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.00479233218356967,-0.1373801976442337,-0.03993610292673111,0.10862620174884796,0.05431310087442398,0.06230032071471214,-0.05271565541625023,-0.20000000298023224,1.0,-0.20000000298023224,1.0,0.0,0.0,1.0,0.0,-0.21585139632225037,-0.03192655369639397,0.4232018291950226,-0.12963581085205078,0.9681759476661682,0.7308376431465149,0.8914245963096619,181.76800537109375,4.371377944946289,4.125931262969971,-3.1070055961608887,2.4349710941314697,0.047265682369470596,168.88925170898438,4.374475002288818,-0.8319525718688965,40.0,-12.878753662109375,0.003097057342529297,89.12593078613281,40.0,target_relative,0.04790067672729492,-0.7978088855743408,0.03748297691345215,168.88925170898438,4.374475002288818,-85.0,-10.543130874633789,-5.095846652984619,16.605430603027344,-7.995207786560059,22.052717208862305,10.10383415222168,45.42332458496094,-10.543130874633789,-5.095846652984619,16.605430603027344,-7.995207786560059,22.052717208862305,10.10383415222168,45.42332458496094,-4.957883834838867,84.1680474281311,89.12593126296997,0.29283432265744147,0.060657334327697765,0.7978088855743408,-0.7978088855743408,0.0,-0.001,y,False,False
train,carpet,individual,1,1,2,0.5851693753502422,0.009999999776482582,0.009999999776482582,homogeneous,0.63,30.0,0.63,30.0,-0.32196885347366333,7.742643356323242e-05,1.0,0.015247258357703686,-0.25395044684410095,0.011931201443076134,-0.1916932910680771,-0.09265175461769104,0.3019169270992279,-0.14536741375923157,0.40095850825309753,0.18370607495307922,0.8258786201477051,-0.20000000298023224,1.0,-0.20000000298023224,1.0,0.0,0.0,1.0,0.0,-0.5981825590133667,0.00882145669311285,0.6072004437446594,0.24537891149520874,0.5853781700134277,0.45561254024505615,-0.8051735758781433,177.01670837402344,4.375135898590088,0.8424760103225708,3.070631980895996,3.1270573139190674,-0.022502196952700615,168.88925170898438,4.374475002288818,-0.8319525718688965,40.0,-8.127456665039062,-0.0006608963012695312,85.84247589111328,40.0,target_relative,-0.0576474666595459,-0.10572266578674316,-0.03228497505187988,168.88925170898438,4.374475002288818,-85.0,-30.5750789642334,-1.4057507514953613,18.71405792236328,-4.305111408233643,22.755590438842773,24.337060928344727,-19.768369674682617,-30.5750789642334,-1.4057507514953613,18.71405792236328,-4.305111408233643,22.755590438842773,24.337060928344727,-19.768369674682617,-1.6744285821914673,84.1680474281311,85.84247601032257,0.3178861750862651,0.26828320026397706,0.10572266578674316,-0.10572266578674316,0.0,-0.001,y,False,False
train,carpet,individual,1,1,3,0.5027057285905637,0.009999999776482582,0.009999999776482582,homogeneous,0.63,30.0,0.63,30.0,-0.20318642258644104,-1.6522408259334043e-05,1.0,-0.01834975741803646,-0.033652570098638535,-0.01027662679553032,-0.5559105277061462,-0.02555910497903824,0.34025558829307556,-0.07827474921941757,0.4137380123138428,0.4424920082092285,-0.359424889087677,-0.20000000298023224,1.0,-0.20000000298023224,1.0,0.0,0.0,1.0,0.0,-0.005703228525817394,-0.13215264678001404,0.26766499876976013,0.9811627864837646,0.6363815069198608,0.8999150991439819,0.01249795313924551,182.92271423339844,4.297151565551758,1.9973760843276978,3.07785964012146,2.8823351860046387,0.0011206739582121372,168.88925170898438,4.374475002288818,-0.8319525718688965,40.0,-14.033462524414062,0.07732343673706055,86.99737548828125,40.0,target_relative,-0.05041980743408203,-0.350445032119751,-0.008662223815917969,168.88925170898438,4.374475002288818,-85.0,-5.007987022399902,-8.873801231384277,14.05750846862793,-2.0207669734954834,24.161340713500977,29.960065841674805,-2.6357827186584473,-5.007987022399902,-8.873801231384277,14.05750846862793,-2.0207669734954834,24.161340713500977,29.960065841674805,-2.6357827186584473,-2.8293286561965942,84.1680474281311,86.9973760843277,0.308839238226489,0.19486649036407472,0.350445032119751,-0.350445032119751,0.0,-0.001,y,False,False
train,carpet,individual,1,1,4,0.5119278949600955,0.009999999776482582,0.009999999776482582,homogeneous,0.63,30.0,0.63,30.0,-0.3508365750312805,0.0019330859649926424,1.0,-0.01604912243783474,-0.11155011504888535,-0.002757271286100149,-0.09105431288480759,-0.1613418459892273,0.2555910646915436,-0.0367412194609642,0.4392971098423004,0.5447284579277039,-0.04792332276701927,-0.20000000298023224,1.0,-0.20000000298023224,1.0,0.0,0.0,1.0,0.0,-0.1708810031414032,-0.3210477828979492,-0.4921424388885498,0.059182874858379364,-0.8634178042411804,-0.9178246259689331,-0.10557188093662262,182.08462524414062,4.242404460906982,1.1550099849700928,3.083597421646118,2.8911662101745605,-0.004396568983793259,168.88925170898438,4.374475002288818,-0.8319525718688965,40.0,-13.19537353515625,0.13207054138183594,86.1550064086914,40.0,target_relative,-0.04468202590942383,-0.3416140079498291,-0.014179468154907227,168.88925170898438,4.374475002288818,-85.0,-8.083067893981934,-13.09105396270752,-9.752396583557129,6.413737773895264,-9.664536476135254,9.664536476135254,-3.4265177249908447,-8.083067893981934,-13.09105396270752,-9.752396583557129,6.413737773895264,-9.664536476135254,9.664536476135254,-3.4265177249908447,-1.9869625568389893,84.1680474281311,86.15500998497009,0.31541209734504416,0.19751579761505128,0.3416140079498291,-0.3416140079498291,0.0,-0.001,y,False,False
train,carpet,individual,1,1,5,0.5952887172214572,0.009999999776482582,0.009999999776482582,homogeneous,0.63,30.0,0.63,30.0,-0.3298843502998352,0.003301763441413641,1.0,-0.014222729951143265,-0.10873911529779434,-0.004513464868068695,-0.1469648778438568,-0.2380191683769226,-0.1773163080215454,0.11661341041326523,-0.17571884393692017,0.17571884393692017,-0.06230032071471214,-0.20000000298023224,1.0,-0.20000000298023224,1.0,0.0,0.0,1.0,0.0,0.667464554309845,0.9126134514808655,0.48981553316116333,-0.5362341403961182,0.8113221526145935,0.10578025877475739,-0.4147239625453949,179.3592071533203,4.403558731079102,1.3447041511535645,3.0656707286834717,-3.109175682067871,-0.08153057098388672,168.88925170898438,4.374475002288818,-0.8319525718688965,40.0,-10.469955444335938,-0.029083728790283203,86.3447036743164,40.0,target_relative,-0.06260871887207031,-0.05877041816711426,-0.09131336212158203,168.88925170898438,4.374475002288818,-85.0,7.116613388061523,-1.7571885585784912,14.936101913452148,-27.93929672241211,39.624603271484375,5.798722267150879,-20.91054344177246,7.116613388061523,-1.7571885585784912,14.936101913452148,-27.93929672241211,39.624603271484375,5.798722267150879,-20.91054344177246,-2.176656723022461,84.1680474281311,86.34470415115356,0.31391984267159145,0.2823688745498657,0.05877041816711426,-0.05877041816711426,0.0,-0.001,y,False,False
train,carpet,individual,1,1,6,0.602946789692599,0.009999999776482582,0.009999999776482582,homogeneous,0.63,30.0,0.63,30.0,-0.26174888014793396,-0.0007270931964740157,1.0,-0.01992897316813469,-0.01870720461010933,-0.029065944254398346,0.12939296662807465,-0.03194888308644295,0.2715654969215393,-0.5079872012138367,0.7204473614692688,0.10543131083250046,-0.38019171357154846,-0.20000000298023224,1.0,-0.20000000298023224,1.0,0.0,0.0,1.0,0.0,0.6992738842964172,-0.9929008483886719,-0.8723820447921753,0.8260689973831177,0.4085628092288971,0.7085020542144775,-0.44543036818504333,179.3607940673828,4.430105686187744,1.742871642112732,3.085437536239624,-3.073284387588501,-0.0523487888276577,168.88925170898438,4.374475002288818,-0.8319525718688965,40.0,-10.471542358398438,-0.05563068389892578,86.74287414550781,40.0,target_relative,-0.04284191131591797,-0.02287912368774414,-0.062131643295288086,168.88925170898438,4.374475002288818,-85.0,39.185302734375,-24.952075958251953,-16.34185218811035,22.140575408935547,16.25399398803711,30.75079917907715,-25.391372680664062,39.185302734375,-24.952075958251953,-16.34185218811035,22.140575408935547,16.25399398803711,30.75079917907715,-25.391372680664062,-2.5748242139816284,84.1680474281311,86.74287164211273,0.3108105267989222,0.2931362628936767,0.02287912368774414,-0.02287912368774414,0.0,-0.001,y,False,False
train,carpet,individual,1,1,7,0.5415658998559505,0.009999999776482582,0.009999999776482582,homogeneous,0.63,30.0,0.63,30.0,-0.261788547039032,-0.0013907670509070158,1.0,-0.013637003488838673,-0.007282651029527187,-0.019777115434408188,0.7124600410461426,-0.4536741077899933,-0.29712459444999695,0.402555912733078,0.2955271601676941,0.5591054558753967,-0.46166130900382996,-0.20000000298023224,1.0,-0.20000000298023224,1.0,0.0,0.0,1.0,0.0,-0.06310001015663147,-0.6151593327522278,-0.28384119272232056,0.8836756944656372,-0.025547893717885017,-0.7459211945533752,-0.685302197933197,175.4712371826172,4.513938903808594,2.032829761505127,3.083082675933838,-2.8304061889648438,-0.0688832700252533,168.88925170898438,4.374475002288818,-0.8319525718688965,40.0,-6.5819854736328125,-0.1394639015197754,87.03282928466797,40.0,target_relative,-0.0451967716217041,0.21999907493591309,-0.07866597175598145,168.88925170898438,4.374475002288818,-85.0,3.60223650932312,-26.18210792541504,-13.969648361206055,42.08466339111328,-1.4057507514953613,-0.5271565318107605,-33.56230163574219,3.60223650932312,-26.18210792541504,-13.969648361206055,42.08466339111328,-1.4057507514953613,-0.5271565318107605,-33.56230163574219,-2.8647823333740234,84.1680474281311,87.03282976150513,0.3085656223367244,0.23400027751922609,0.21999907493591309,0.21999907493591309,0.0,-0.001,y,False,False
train,carpet,individual,1,1,8,0.486322030296895,0.009999999776482582,0.009999999776482582,homogeneous,0.63,30.0,0.63,30.0,-0.16454963386058807,-0.0034865974448621273,1.0,-0.01438657846301794,0.07002788037061691,-0.02504015527665615,0.06549520790576935,-0.4760383367538452,-0.25399360060691833,0.7651757001876831,-0.02555910497903824,-0.00958466436713934,-0.610223650932312,-0.20000000298023224,1.0,-0.20000000298023224,1.0,0.0,0.0,1.0,0.0,-0.8636912107467651,0.8089468479156494,0.5283460021018982,0.8982259631156921,-0.9188326597213745,-0.25874853134155273,0.5270001888275146,179.1980438232422,4.326955795288086,2.0657336711883545,3.0656321048736572,2.8294806480407715,-0.025979947298765182,168.88925170898438,4.374475002288818,-0.8319525718688965,40.0,-10.308792114257812,0.04751920700073242,87.06573486328125,40.0,target_relative,-0.06264734268188477,-0.40329957008361816,-0.035762786865234375,168.88925170898438,4.374475002288818,-85.0,-47.619808197021484,11.597444534301758,-1.669329047203064,47.619808197021484,-34.880191802978516,-12.739616394042969,27.675718307495117,-47.619808197021484,11.597444534301758,-1.669329047203064,47.619808197021484,-34.880191802978516,-12.739616394042969,27.675718307495117,-2.897686243057251,84.1680474281311,87.06573367118835,0.3083119013219805,0.17901012897491453,0.40329957008361816,-0.40329957008361816,0.0,-0.001,y,False,False
train,carpet,individual,1,1,9,0.49147842905576317,0.009999999776482582,0.009999999776482582,homogeneous,0.63,30.0,0.63,30.0,-0.25771981477737427,0.0011879801750183105,1.0,-0.019941268488764763,-0.12837423384189606,-0.01138364803045988,-0.8658146858215332,0.21086262166500092,-0.030351437628269196,0.8658146858215332,-0.6341853141784668,-0.2316293865442276,0.5031948685646057,-0.20000000298023224,1.0,-0.20000000298023224,1.0,0.0,0.0,1.0,0.0,0.8392294645309448,-0.2494833916425705,0.2882962226867676,0.8918865323066711,-0.7372787594795227,-0.12020143866539001,0.44569557905197144,179.14529418945312,4.3008646965026855,2.056495189666748,3.0145978927612305,2.846431016921997,-0.11342857033014297,168.88925170898438,4.374475002288818,-0.8319525718688965,40.0,-10.25604248046875,0.07361030578613281,87.0564956665039,40.0,target_relative,-0.11368155479431152,-0.3863489627838135,-0.12321138381958008,168.88925170898438,4.374475002288818,-85.0,-4.568689823150635,-17.484024047851562,13.969648361206055,48.58626174926758,-38.39456558227539,-6.5015974044799805,24.512779235839844,-4.568689823150635,-17.484024047851562,13.969648361206055,48.58626174926758,-38.39456558227539,-6.5015974044799805,24.512779235839844,-2.8884477615356445,84.1680474281311,87.05649518966675,0.3083831178909072,0.18409531116485595,0.3863489627838135,-0.3863489627838135,0.0,-0.001,y,False,False
train,carpet,individual,1,1,10,0.49494608866947887,0.009999999776482582,0.009999999776482582,homogeneous,0.63,30.0,0.63,30.0,-0.25640106201171875,0.0018402576679363847,1.0,-0.036185961216688156,-0.12297868728637695,-0.03921940177679062,-0.08306708931922913,-0.31789135932922363,0.25399360060691833,0.8833865523338318,-0.6980829834938049,-0.11821085959672928,0.4456869065761566,-0.20000000298023224,1.0,-0.20000000298023224,1.0,0.0,0.0,1.0,0.0,0.9817269444465637,0.5170333385467529,0.28379103541374207,0.7133013606071472,-0.9842684268951416,0.7865627408027649,-0.9032813310623169,172.42276000976562,4.493030071258545,4.399171829223633,3.085980176925659,-2.7340896129608154,-0.05545702204108238,168.88925170898438,4.374475002288818,-0.8319525718688965,40.0,-3.53350830078125,-0.11855506896972656,89.399169921875,40.0,target_relative,-0.04229927062988281,0.3163156509399414,-0.06523990631103516,168.88925170898438,4.374475002288818,-85.0,37.7795524597168,-18.099040985107422,12.212459564208984,39.185302734375,-50.870609283447266,42.172523498535156,-47.444091796875,37.7795524597168,-18.099040985107422,12.212459564208984,39.185302734375,-50.870609283447266,42.172523498535156,-47.444091796875,-5.231124401092529,84.1680474281311,89.39917182922363,0.2908407839514613,0.20510530471801758,0.3163156509399414,0.3163156509399414,0.0,-0.001,y,False,False
