phase,policy_role,terrain,episode,episode_in_terrain,steps,episode_return,ended,terminated_by_target,truncated_by_episode_length,success,remaining_distance_cm,forward_progress_cm,final_z_cm,target_z_cm,individual_alpha,population_alpha,individual_replay_size,population_replay_size,layout,A_width_ratio,A_attack_angle_deg,B_width_ratio,B_attack_angle_deg
train,individual,carpet,1,1,175,132.5040073725482,True,False,True,False,40.65998840332031,41.81465029716492,-44.34001159667969,-85.0,0.009999999776482582,0.009999999776482582,175,175,heterogeneous_ab,0.9,30.0,0.63,0.0
train,individual,carpet,2,2,175,115.39710939674227,True,False,True,False,62.18804168701172,20.630311965942383,-22.81195831298828,-85.0,0.009999999776482582,0.009999999776482582,350,350,heterogeneous_ab,0.9,30.0,0.63,0.0
train,individual,carpet,3,3,175,116.83466569692311,True,False,True,False,58.33390426635742,22.57737112045288,-26.666095733642578,-85.0,0.009999999776482582,0.009999999776482582,525,525,heterogeneous_ab,0.9,30.0,0.63,0.0
train,individual,carpet,4,4,175,123.4834305222406,True,False,True,False,50.756324768066406,30.45176410675049,-34.243675231933594,-85.0,0.009999999776482582,0.009999999776482582,700,700,heterogeneous_ab,0.9,30.0,0.63,0.0
train,individual,carpet,5,5,175,64.83412417729613,True,False,True,False,82.98961639404297,-1.2532505989074707,-2.0103800296783447,-85.0,0.009656078182160854,0.009656078182160854,875,875,heterogeneous_ab,0.9,30.0,0.63,0.0
train,individual,carpet,6,6,175,17.130747501720926,True,False,True,False,147.82704162597656,-66.03243851661682,62.8270378112793,-85.0,0.00924969557672739,0.00924969557672739,1050,1050,heterogeneous_ab,0.9,30.0,0.63,0.0
train,individual,carpet,7,7,175,92.10929148949252,True,False,True,False,63.10385513305664,19.093250274658203,-21.89614486694336,-85.0,0.008781036362051964,0.008781036362051964,1225,1225,heterogeneous_ab,0.9,30.0,0.63,0.0
train,individual,carpet,8,8,175,136.01082275638427,True,False,True,False,42.781646728515625,37.98992729187012,-42.218353271484375,-85.0,0.008261439390480518,0.008261439390480518,1400,1400,heterogeneous_ab,0.9,30.0,0.63,0.0
train,individual,carpet,9,9,175,107.43069165633004,True,False,True,False,77.02887725830078,4.128498792648315,-7.9711222648620605,-85.0,0.007702954579144716,0.007702954579144716,1575,1575,heterogeneous_ab,0.9,30.0,0.63,0.0
train,individual,carpet,10,10,175,121.16333491723658,True,False,True,False,68.55984497070312,12.352091789245605,-16.440156936645508,-85.0,0.007124999072402716,0.007136696018278599,1750,1750,heterogeneous_ab,0.9,30.0,0.63,0.0
