design_index,checkpoint,tag,replay,terrain,rollout_index,width_ratio,actual_width,attack_angle_deg,return,length,window_start,window_end
1,2026_05_20_DesignCycle1_ep60,scale_ab_carpet_cardboard_design1_30ep,replay_2026_05_20_DesignCycle1_scale_ab_carpet_cardboard_design1_30ep.pt,carpet,27,0.63,5.3999999999999995,30.0,11.581995897988211,175,20,30
1,2026_05_20_DesignCycle1_ep60,scale_ab_carpet_cardboard_design1_30ep,replay_2026_05_20_DesignCycle1_scale_ab_carpet_cardboard_design1_30ep.pt,carpet,28,0.63,5.3999999999999995,30.0,13.030385726371122,175,20,30
1,2026_05_20_DesignCycle1_ep60,scale_ab_carpet_cardboard_design1_30ep,replay_2026_05_20_DesignCycle1_scale_ab_carpet_cardboard_design1_30ep.pt,carpet,29,0.63,5.3999999999999995,30.0,7.027151037150811,175,20,30
1,2026_05_20_DesignCycle1_ep60,scale_ab_carpet_cardboard_design1_30ep,replay_2026_05_20_DesignCycle1_scale_ab_carpet_cardboard_design1_30ep.pt,cardboard,20,0.63,5.3999999999999995,30.0,1.278444176346468,175,20,30
1,2026_05_20_DesignCycle1_ep60,scale_ab_carpet_cardboard_design1_30ep,replay_2026_05_20_DesignCycle1_scale_ab_carpet_cardboard_design1_30ep.pt,cardboard,21,0.63,5.3999999999999995,30.0,9.767928028685207,175,20,30
1,2026_05_20_DesignCycle1_ep60,scale_ab_carpet_cardboard_design1_30ep,replay_2026_05_20_DesignCycle1_scale_ab_carpet_cardboard_design1_30ep.pt,cardboard,22,0.63,5.3999999999999995,30.0,10.065180336903321,175,20,30
1,2026_05_20_DesignCycle1_ep60,scale_ab_carpet_cardboard_design1_30ep,replay_2026_05_20_DesignCycle1_scale_ab_carpet_cardboard_design1_30ep.pt,cardboard,23,0.63,5.3999999999999995,30.0,8.439865700076158,175,20,30
1,2026_05_20_DesignCycle1_ep60,scale_ab_carpet_cardboard_design1_30ep,replay_2026_05_20_DesignCycle1_scale_ab_carpet_cardboard_design1_30ep.pt,cardboard,24,0.63,5.3999999999999995,30.0,8.820182684704209,175,20,30
1,2026_05_20_DesignCycle1_ep60,scale_ab_carpet_cardboard_design1_30ep,replay_2026_05_20_DesignCycle1_scale_ab_carpet_cardboard_design1_30ep.pt,cardboard,25,0.63,5.3999999999999995,30.0,3.9957015082221536,175,20,30
1,2026_05_20_DesignCycle1_ep60,scale_ab_carpet_cardboard_design1_30ep,replay_2026_05_20_DesignCycle1_scale_ab_carpet_cardboard_design1_30ep.pt,cardboard,26,0.63,5.3999999999999995,30.0,8.991806491865589,175,20,30
1,2026_05_20_DesignCycle1_ep60,scale_ab_carpet_cardboard_design1_30ep,replay_2026_05_20_DesignCycle1_scale_ab_carpet_cardboard_design1_30ep.pt,cardboard,27,0.63,5.3999999999999995,30.0,12.057831969698249,175,20,30
1,2026_05_20_DesignCycle1_ep60,scale_ab_carpet_cardboard_design1_30ep,replay_2026_05_20_DesignCycle1_scale_ab_carpet_cardboard_design1_30ep.pt,cardboard,28,0.63,5.3999999999999995,30.0,6.90290552856617,175,20,30
1,2026_05_20_DesignCycle1_ep60,scale_ab_carpet_cardboard_design1_30ep,replay_2026_05_20_DesignCycle1_scale_ab_carpet_cardboard_design1_30ep.pt,cardboard,29,0.63,5.3999999999999995,30.0,10.167631248061813,175,20,30
2,2026_05_21_DesignCycle2_ep60,scale_ab_carpet_cardboard_design2_30ep,replay_2026_05_21_DesignCycle2_scale_ab_carpet_cardboard_design2_30ep.pt,carpet,20,0.9,7.714285714285714,30.0,17.442938292115862,175,20,30
2,2026_05_21_DesignCycle2_ep60,scale_ab_carpet_cardboard_design2_30ep,replay_2026_05_21_DesignCycle2_scale_ab_carpet_cardboard_design2_30ep.pt,carpet,21,0.9,7.714285714285714,30.0,16.333361967530507,175,20,30
2,2026_05_21_DesignCycle2_ep60,scale_ab_carpet_cardboard_design2_30ep,replay_2026_05_21_DesignCycle2_scale_ab_carpet_cardboard_design2_30ep.pt,carpet,22,0.9,7.714285714285714,30.0,24.202003866525278,175,20,30
2,2026_05_21_DesignCycle2_ep60,scale_ab_carpet_cardboard_design2_30ep,replay_2026_05_21_DesignCycle2_scale_ab_carpet_cardboard_design2_30ep.pt,carpet,23,0.9,7.714285714285714,30.0,17.314639854599474,175,20,30
2,2026_05_21_DesignCycle2_ep60,scale_ab_carpet_cardboard_design2_30ep,replay_2026_05_21_DesignCycle2_scale_ab_carpet_cardboard_design2_30ep.pt,carpet,24,0.9,7.714285714285714,30.0,21.20902198051742,175,20,30
2,2026_05_21_DesignCycle2_ep60,scale_ab_carpet_cardboard_design2_30ep,replay_2026_05_21_DesignCycle2_scale_ab_carpet_cardboard_design2_30ep.pt,carpet,25,0.9,7.714285714285714,30.0,23.203794467845807,175,20,30
2,2026_05_21_DesignCycle2_ep60,scale_ab_carpet_cardboard_design2_30ep,replay_2026_05_21_DesignCycle2_scale_ab_carpet_cardboard_design2_30ep.pt,carpet,26,0.9,7.714285714285714,30.0,23.250508159330753,175,20,30
2,2026_05_21_DesignCycle2_ep60,scale_ab_carpet_cardboard_design2_30ep,replay_2026_05_21_DesignCycle2_scale_ab_carpet_cardboard_design2_30ep.pt,carpet,27,0.9,7.714285714285714,30.0,17.480034096874252,175,20,30
2,2026_05_21_DesignCycle2_ep60,scale_ab_carpet_cardboard_design2_30ep,replay_2026_05_21_DesignCycle2_scale_ab_carpet_cardboard_design2_30ep.pt,carpet,28,0.9,7.714285714285714,30.0,20.948288469881433,175,20,30
2,2026_05_21_DesignCycle2_ep60,scale_ab_carpet_cardboard_design2_30ep,replay_2026_05_21_DesignCycle2_scale_ab_carpet_cardboard_design2_30ep.pt,carpet,29,0.9,7.714285714285714,30.0,17.11565417606832,175,20,30
2,2026_05_21_DesignCycle2_ep60,scale_ab_carpet_cardboard_design2_30ep,replay_2026_05_21_DesignCycle2_scale_ab_carpet_cardboard_design2_30ep.pt,cardboard,20,0.9,7.714285714285714,30.0,23.92131941173339,175,20,30
2,2026_05_21_DesignCycle2_ep60,scale_ab_carpet_cardboard_design2_30ep,replay_2026_05_21_DesignCycle2_scale_ab_carpet_cardboard_design2_30ep.pt,cardboard,21,0.9,7.714285714285714,30.0,22.329901801373087,175,20,30
2,2026_05_21_DesignCycle2_ep60,scale_ab_carpet_cardboard_design2_30ep,replay_2026_05_21_DesignCycle2_scale_ab_carpet_cardboard_design2_30ep.pt,cardboard,22,0.9,7.714285714285714,30.0,26.5012181877013,175,20,30
2,2026_05_21_DesignCycle2_ep60,scale_ab_carpet_cardboard_design2_30ep,replay_2026_05_21_DesignCycle2_scale_ab_carpet_cardboard_design2_30ep.pt,cardboard,23,0.9,7.714285714285714,30.0,20.808413193064542,175,20,30
2,2026_05_21_DesignCycle2_ep60,scale_ab_carpet_cardboard_design2_30ep,replay_2026_05_21_DesignCycle2_scale_ab_carpet_cardboard_design2_30ep.pt,cardboard,24,0.9,7.714285714285714,30.0,22.75251769052284,175,20,30
2,2026_05_21_DesignCycle2_ep60,scale_ab_carpet_cardboard_design2_30ep,replay_2026_05_21_DesignCycle2_scale_ab_carpet_cardboard_design2_30ep.pt,cardboard,25,0.9,7.714285714285714,30.0,23.328142652417036,175,20,30
2,2026_05_21_DesignCycle2_ep60,scale_ab_carpet_cardboard_design2_30ep,replay_2026_05_21_DesignCycle2_scale_ab_carpet_cardboard_design2_30ep.pt,cardboard,26,0.9,7.714285714285714,30.0,27.478796276652748,175,20,30
2,2026_05_21_DesignCycle2_ep60,scale_ab_carpet_cardboard_design2_30ep,replay_2026_05_21_DesignCycle2_scale_ab_carpet_cardboard_design2_30ep.pt,cardboard,27,0.9,7.714285714285714,30.0,22.31287315371519,175,20,30
2,2026_05_21_DesignCycle2_ep60,scale_ab_carpet_cardboard_design2_30ep,replay_2026_05_21_DesignCycle2_scale_ab_carpet_cardboard_design2_30ep.pt,cardboard,28,0.9,7.714285714285714,30.0,23.415823496716918,175,20,30
2,2026_05_21_DesignCycle2_ep60,scale_ab_carpet_cardboard_design2_30ep,replay_2026_05_21_DesignCycle2_scale_ab_carpet_cardboard_design2_30ep.pt,cardboard,29,0.9,7.714285714285714,30.0,25.17603802196232,175,20,30
3,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,replay_2026_05_21_DesignCycle3_scale_ab_carpet_cardboard_design3_30ep.pt,carpet,20,0.9,7.714285714285714,0.0,28.313635362722227,175,20,30
3,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,replay_2026_05_21_DesignCycle3_scale_ab_carpet_cardboard_design3_30ep.pt,carpet,21,0.9,7.714285714285714,0.0,30.096175801720328,175,20,30
3,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,replay_2026_05_21_DesignCycle3_scale_ab_carpet_cardboard_design3_30ep.pt,carpet,22,0.9,7.714285714285714,0.0,18.82383424290133,175,20,30
3,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,replay_2026_05_21_DesignCycle3_scale_ab_carpet_cardboard_design3_30ep.pt,carpet,23,0.9,7.714285714285714,0.0,25.13538059665901,175,20,30
3,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,replay_2026_05_21_DesignCycle3_scale_ab_carpet_cardboard_design3_30ep.pt,carpet,24,0.9,7.714285714285714,0.0,22.88651413540605,175,20,30
3,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,replay_2026_05_21_DesignCycle3_scale_ab_carpet_cardboard_design3_30ep.pt,carpet,25,0.9,7.714285714285714,0.0,21.163273768911274,175,20,30
3,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,replay_2026_05_21_DesignCycle3_scale_ab_carpet_cardboard_design3_30ep.pt,carpet,26,0.9,7.714285714285714,0.0,21.778130739773825,175,20,30
3,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,replay_2026_05_21_DesignCycle3_scale_ab_carpet_cardboard_design3_30ep.pt,carpet,27,0.9,7.714285714285714,0.0,20.902258424094185,175,20,30
3,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,replay_2026_05_21_DesignCycle3_scale_ab_carpet_cardboard_design3_30ep.pt,carpet,28,0.9,7.714285714285714,0.0,23.497562747249006,175,20,30
3,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,replay_2026_05_21_DesignCycle3_scale_ab_carpet_cardboard_design3_30ep.pt,carpet,29,0.9,7.714285714285714,0.0,28.027160561127317,175,20,30
3,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,replay_2026_05_21_DesignCycle3_scale_ab_carpet_cardboard_design3_30ep.pt,cardboard,20,0.9,7.714285714285714,0.0,-3.0160278133198286,175,20,30
3,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,replay_2026_05_21_DesignCycle3_scale_ab_carpet_cardboard_design3_30ep.pt,cardboard,21,0.9,7.714285714285714,0.0,-0.2431817401631925,175,20,30
3,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,replay_2026_05_21_DesignCycle3_scale_ab_carpet_cardboard_design3_30ep.pt,cardboard,22,0.9,7.714285714285714,0.0,-1.981663684434255,175,20,30
3,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,replay_2026_05_21_DesignCycle3_scale_ab_carpet_cardboard_design3_30ep.pt,cardboard,23,0.9,7.714285714285714,0.0,-1.3213253872634692,175,20,30
3,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,replay_2026_05_21_DesignCycle3_scale_ab_carpet_cardboard_design3_30ep.pt,cardboard,24,0.9,7.714285714285714,0.0,1.2122461804509308,175,20,30
3,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,replay_2026_05_21_DesignCycle3_scale_ab_carpet_cardboard_design3_30ep.pt,cardboard,25,0.9,7.714285714285714,0.0,2.922513415777455,175,20,30
3,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,replay_2026_05_21_DesignCycle3_scale_ab_carpet_cardboard_design3_30ep.pt,cardboard,26,0.9,7.714285714285714,0.0,5.067243422239819,175,20,30
3,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,replay_2026_05_21_DesignCycle3_scale_ab_carpet_cardboard_design3_30ep.pt,cardboard,27,0.9,7.714285714285714,0.0,4.381088186042722,175,20,30
3,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,replay_2026_05_21_DesignCycle3_scale_ab_carpet_cardboard_design3_30ep.pt,cardboard,28,0.9,7.714285714285714,0.0,4.047911152411675,175,20,30
3,2026_05_21_DesignCycle3_ep60,scale_ab_carpet_cardboard_design3_30ep,replay_2026_05_21_DesignCycle3_scale_ab_carpet_cardboard_design3_30ep.pt,cardboard,29,0.9,7.714285714285714,0.0,3.429453476277129,175,20,30
