design_index,checkpoint,tag,replay,terrain,rollout_index,return,length,A_width_ratio,A_attack_angle_deg,A_actual_width,B_width_ratio,B_attack_angle_deg,B_actual_width,width_ratio,actual_width,attack_angle_deg
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,carpet,19,12.326339186424795,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,carpet,20,13.0513330784357,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,carpet,21,12.287959659715455,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,carpet,22,9.923521636438016,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,carpet,23,5.017805922718533,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,carpet,24,7.826133797569121,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,carpet,25,11.6674651382731,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,carpet,26,10.362728898544201,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,carpet,27,12.620862449185557,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,carpet,28,9.817404327187694,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,carpet,29,9.872120565830595,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,carpet,30,9.263584888636403,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,carpet,31,8.352216129457517,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,carpet,32,9.752706882412733,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,carpet,33,9.233050908978704,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,carpet,34,6.1812764192645835,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,carpet,35,7.679480048372045,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,carpet,36,9.645404048200206,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,carpet,37,9.057950565729245,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,carpet,38,9.468327917248587,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,carpet,39,13.105024693930684,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,0,-13.46636069276761,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,1,-17.945642542829855,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,2,-12.588229706940014,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,3,-21.639937829325348,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,4,-4.9060064536913774,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,5,-20.619163122835932,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,6,-1.9330838577467173,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,7,3.961194424077361,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,8,-1.7174859888460372,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,9,0.4754591149728389,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,10,-12.362275113258116,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,11,-2.207372884750078,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,12,-3.5828589285503902,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,13,-10.623164051353049,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,14,-3.4211120122914465,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,15,-9.68725833457756,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,16,3.331704050629001,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,17,-8.641244636048746,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,18,-0.013469299351069997,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,19,-2.9846558355952313,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,20,-4.487181530768492,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,21,-2.280862368605312,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,22,-4.250440059432266,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,23,-6.331434231852982,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,24,1.8146666758773253,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,25,-1.7545076809980227,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,26,-3.2693022529755735,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,27,1.329064487619887,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,28,-2.3483819404979305,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,29,-1.633717639432384,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,30,1.2744732620846557,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,31,-4.992165314346748,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
0,2026_05_18_DesignCycle0_ep76,scale_ab_carpet_cardboard,replay_2026_05_18_DesignCycle0_scale_ab_carpet_cardboard.pt,cardboard,32,-4.022175773204473,175,0.63,0.0,5.3999999999999995,0.63,0.0,5.3999999999999995,0.63,5.3999999999999995,0.0
