Episode,Run_ID,rows,first_timestep,last_timestep,terrain,terrain_block,final_cumulative_reward,sum_reward,sum_progress_cm,sum_raw_progress_cm,selected
14,20260416_161832_958627,175,0,174,carpet,1,-3.906654703581469,-3.9066547035814687,11.830744027722544,12.990907020866873,False
14,20260416_170321_998771,175,0,174,carpet,1,-1.882234994834271,-1.8822349948342705,13.917306681334551,15.80642843618989,True
16,20260416_170321_998771,175,0,174,foam,2,-5.267114563885151,-5.267114563885148,4.464960766381012,4.62457686662674,False
16,20260416_172600_133022,175,0,174,foam,2,4.643345613754432,4.643345613754432,-5.28057482744866,2.106906473636627,True
