Episode,run_id,steps,last_timestep,terrain,terrain_id,terrain_block,episode_in_block,final_cumulative_reward,sum_reward,mean_reward_per_step,sum_progress_cm,sum_raw_progress_cm,mean_progress_reward,sum_progress_reward,start_x,final_x,start_y,final_y,mean_abs_x_position,mean_abs_y_position,no_progress_steps,backward_steps,sum_Progress_Reward,mean_Progress_Reward,sum_X_Drift_Penalty,mean_X_Drift_Penalty,sum_Heading_Penalty,mean_Heading_Penalty,sum_Living_Penalty,mean_Living_Penalty,sum_No_Progress_Penalty,mean_No_Progress_Penalty,sum_Backward_Penalty,mean_Backward_Penalty,mean_abs_Motor1_Action,mean_abs_Motor2_Action,mean_abs_Motor3_Action,mean_abs_Motor4_Action,mean_abs_Motor5_Action,mean_abs_Motor6_Action,mean_abs_Motor7_Action,delta_x,delta_y,reward_sum_delta
0,20260420_141610_536736,175,174,cardboard,1,0,0,2.970895551531467,2.9708955515314672,0.01697654600875124,13.414134001344209,17.301886621862653,0.05457685527071879,9.550949672375788,1.16420316696167,1.457494616508484,0.3302293419837951,-0.0070581519976258,1.3676441049575805,0.1249909561233861,71,0,9.550949672375788,0.05457685527071879,0.06912355741324812,0.00039499175664713213,0.653477790604298,0.0037341588034531313,3.5,0.02,3.0404678755727796,0.01737410214613017,0.0,0.0,0.818358582337143,0.6704740985657143,0.7019852853965715,0.40423946622857143,0.5476726328,0.4655212601657144,0.4538789561657143,0.2932914495468142,-0.3372874939814209,-4.440892098500626e-16
1,20260420_141610_536736,175,174,cardboard,1,0,1,2.8574264434510988,2.8574264434511005,0.01632815110543486,20.408550711952245,20.745315402746204,0.058413053604398926,10.222284380769812,1.180863380432129,0.9061800837516784,0.0952383950352668,-0.1474692672491073,1.1951115597997393,0.05878460298757996,79,0,10.222284380769812,0.058413053604398926,1.4976174469603487,0.008557813982630565,1.828747992241057,0.010449988527091754,3.5,0.02,3.6236587930106223,0.020706621674346413,0.0,0.0,0.8348688910688673,0.6566915431592081,0.6931047464268548,0.4497701264265925,0.5477286453864404,0.4418884892708489,0.43001071826155696,-0.27468329668045055,-0.24270766228437413,-1.7763568394002505e-15
2,20260420_141610_536736,175,174,cardboard,1,0,2,0.3231995923865658,0.3231995923865627,0.0018468548136375011,10.751453168623256,12.459399551153185,0.04147657797401298,7.258401145452272,1.1864289045333862,1.2606626749038696,0.2341568171977996,-0.0197944194078445,1.3413718209947858,0.10918991767934387,77,0,7.258401145452272,0.04147657797401298,0.0015668806850974001,8.953603914842287e-06,0.0014279503236655,8.159716135231429e-06,3.5,0.02,3.434973467481014,0.019628419814177223,0.0,0.0,0.7343012250134987,0.5985969570491995,0.6666802142986229,0.44022559717297555,0.4928880518089448,0.41010622313512224,0.3889823214563408,0.0742337703704834,-0.2539512366056441,3.1086244689504383e-15
3,20260420_141610_536736,175,174,cardboard,1,0,3,7.038081289423217,7.0380812894232125,0.040217607368132645,27.274761036745282,29.139333963394165,0.07831537249881414,13.705190187292475,1.23840594291687,1.306100845336914,0.1812275350093841,-0.147344708442688,1.1961114113671438,0.09590452470949713,71,0,13.705190187292475,0.07831537249881414,0.3214297106235448,0.0018367412035631132,0.1353809593522926,0.0007736054820131006,3.5,0.02,3.12819687883929,0.017875410736224517,0.0,0.0,0.6827546181582979,0.5678037824428507,0.6095556063737189,0.45412415931267397,0.4757385872730187,0.32054715182956506,0.3395011126077069,0.06769490242004417,-0.3285722434520721,4.440892098500626e-15
4,20260420_141610_536736,175,174,cardboard,1,0,4,4.220311516381606,4.220311516381607,0.0241160658078949,17.61382128954594,17.159494105726488,0.057823653129685716,10.119139297695,1.292243719100952,1.156452178955078,0.1682883650064468,-0.0068237716332077,1.337032048361642,0.12425054851786364,56,0,10.119139297695,0.057823653129685716,0.0,0.0,0.031979478321391,0.0001827398761222343,3.5,0.02,2.3972288073973216,0.013698450327984694,0.0,0.0,0.5714508786424994,0.5293516453328941,0.5202743889724037,0.44758861959512747,0.45773335612778154,0.309579095233764,0.32875946198523576,-0.13579154014587402,-0.1751121366396545,-1.7763568394002505e-15
5,20260420_141610_536736,175,174,cardboard,1,0,5,-8.659880518657745,-8.659880518657756,-0.04948503153518718,-1.4197309807969707,-0.653532147407534,-0.002476664293679185,-0.4334162513938574,1.2316083908081057,1.3435624837875366,0.2272896766662597,0.1678992807865142,1.356602839742388,0.2075185855797359,103,0,-0.4334162513938574,-0.002476664293679185,0.00019066059886858408,1.0894891363919091e-06,0.11382123107245551,0.0006504070346997458,3.5,0.02,4.720754139650387,0.026975737940859352,0.0,0.0,0.5544726566451469,0.5114039434226496,0.5315969354552882,0.45658321092969606,0.4348460687650368,0.32174369124429564,0.3475414237926348,0.11195409297943093,-0.05939039587974551,1.0658141036401503e-14
6,20260420_141610_536736,175,174,cardboard,1,0,6,-6.97820919599415,-6.978209195994151,-0.039875481119966576,0.7028482977598141,1.5433862805366507,0.00471913147408175,0.8258480079643062,1.3508470058441162,1.2771110534667969,0.1604098528623581,0.1398022621870041,1.2756508091517857,0.1951051012107304,96,0,0.8258480079643062,0.00471913147408175,0.618578334935173,0.003534733342486703,0.13952422418341626,0.000797281281048093,3.5,0.02,4.235223159255768,0.024201275195747246,0.0,0.0,0.5251347552319723,0.5297066449320742,0.4896496792180863,0.4770000396668911,0.41623406255971257,0.34009475927267757,0.30705347484809214,-0.07373595237731934,-0.020607590675354004,8.881784197001252e-16
7,20260420_141610_536736,175,174,cardboard,1,0,7,-4.848050933320176,-4.848050933320175,-0.027703148190400997,3.974720245926136,4.267633706331254,0.026227234431343317,4.589766025485081,1.266984462738037,1.6252410411834717,0.1400448977947235,0.0918382927775383,1.6044612414496287,0.15121974408626557,90,0,4.589766025485081,0.026227234431343317,18.24614088016553,0.10426366217237445,1.006754376340653,0.005752882150518017,3.5,0.02,4.062865151971668,0.02321637229698096,0.0,0.0,0.49121943172599586,0.5086188302561641,0.5154379968637867,0.46373681545257567,0.4050661150033453,0.38933415229033147,0.388570957133613,0.35825657844543457,-0.04820660501718521,-8.881784197001252e-16
8,20260420_141610_536736,175,174,artificial_grass,2,1,0,14.07870981166224,14.078709811662227,0.08044977035235558,42.03321081105638,43.01119148731232,0.11115381065477745,19.451916864586053,0.80036860704422,0.98626971244812,0.1516090184450149,-0.232704609632492,0.9158003551619394,0.12426266283195996,27,0,19.451916864586053,0.11115381065477745,8.63800740462853e-05,4.936004231216303e-07,17.734028293107826,0.10133730453204472,3.5,0.02,0.9864970002610295,0.005637125715777311,0.0,0.0,0.7324172872557704,0.6691539997501033,0.6356285362477814,0.5319520074874162,0.49523528030208713,0.2854415097024425,0.28523575754437064,0.18590110540390004,-0.3843136280775069,1.2434497875801753e-14
9,20260420_141610_536736,175,174,artificial_grass,2,1,1,19.443395710122267,19.443395710122253,0.11110511834355573,50.56881010924106,50.47185197472572,0.14131671690084083,24.730425457647147,0.745697557926178,0.815873920917511,0.0919278115034103,-0.449070543050766,0.816343754019056,0.2233926761017314,41,0,24.730425457647147,0.14131671690084083,0.0,0.0,0.9056143628973405,0.005174939216556232,3.5,0.02,1.741749029380025,0.009952851596457287,0.0,0.0,0.5698996845393308,0.5170711298074041,0.6359209584764072,0.4853714513592422,0.4148072003107518,0.5208032667736656,0.542404137434704,0.07017636299133301,-0.5409983545541763,1.4210854715202004e-14
