Episode,Run_ID,rows,first_timestep,last_timestep,terrain,terrain_block,final_cumulative_reward,sum_reward,sum_progress_cm,sum_raw_progress_cm,selected
9,20260511_150924_048511,175,0,174,carpet,0,-13.313905262169191,-13.31390526216919,2.902542236149186,4.0295153856277475,False
9,20260511_153607_598799,175,0,174,carpet,0,-0.6022851619455236,-0.6022851619455235,17.84567171565946,18.969669938087463,True
20,20260511_153607_598799,175,0,174,carpet,0,2.6662062733224228,2.666206273322422,19.489198541086054,20.96695601940155,False
20,20260511_160728_402140,175,0,174,carpet,0,3.666155533104505,3.666155533104505,21.36480997897412,23.25172834098339,True
29,20260511_162836_213500,175,0,174,carpet,0,4.780541121289311,4.780541121289314,23.728409874121905,23.3443021774292,False
29,20260511_164018_778947,175,0,174,carpet,0,6.674668890983613,6.674668890983614,27.661621331817827,26.53595879673958,True
32,20260511_164018_778947,175,0,174,carpet,0,1.2841168498395517,1.2841168498395537,18.355375009177422,18.49106177687645,False
32,20260511_165052_870493,175,0,174,carpet,0,1.8179622133956783,1.8179622133956794,19.049165111088566,19.212123006582257,True
35,20260511_165509_654748,175,0,174,carpet,0,3.143955628162729,3.1439556281627277,21.195006387910848,20.866265892982483,False
35,20260511_172903_784848,175,0,174,carpet,0,-9.1800881403766,-9.180088140376599,7.986457320841892,8.982736617326733,True
46,20260511_175409_079406,175,0,174,carpet,0,-2.6326810007722443,-2.632681000772244,12.553219580168712,13.174787349998951,False
46,20260511_175649_413793,175,0,174,carpet,0,-2.648389363600459,-2.6483893636004594,12.9663770152857,13.734356127679348,True
