update,replay_size,qf1_loss,qf2_loss,policy_loss,alpha,alpha_loss,target_entropy_internal,target_entropy_paper,q_target_mean,q_target_std,policy_mean_abs,policy_log_std_mean,train_update
1,41831,1.7390069961547852,1.3047696352005005,-13.216803550720215,0.0031742113642394543,-8.030632972717285,-9.0,9.0,13.68918228149414,10.36034870147705,1.307273030281067,-0.8106716871261597,5023
2,41831,2.930011034011841,3.105165958404541,-15.005819320678711,0.0031710390467196703,-8.405692100524902,-9.0,9.0,13.858783721923828,10.681029319763184,1.3110153675079346,-0.8063870072364807,5024
3,41831,1.5072946548461914,1.2093815803527832,-14.017589569091797,0.003168126568198204,-2.328397035598755,-9.0,9.0,13.476062774658203,10.824403762817383,1.3500155210494995,-0.8812127113342285,5025
4,41831,1.4741590023040771,1.594400405883789,-13.701021194458008,0.0031651202589273453,-5.8158416748046875,-9.0,9.0,13.952454566955566,10.714845657348633,1.3120157718658447,-0.8514336943626404,5026
5,41831,1.8031260967254639,2.002328872680664,-14.229497909545898,0.003162061097100377,-7.871445655822754,-9.0,9.0,14.717583656311035,11.07070255279541,1.3077830076217651,-0.851138174533844,5027
6,41831,1.4443764686584473,1.587100625038147,-13.796051025390625,0.003159443149343133,0.11267006397247314,-9.0,9.0,14.068203926086426,11.22238826751709,1.411805510520935,-0.8643308281898499,5028
7,41831,1.1336300373077393,1.0011627674102783,-14.073990821838379,0.0031570123974233866,-1.154759407043457,-9.0,9.0,13.919646263122559,10.840123176574707,1.3932675123214722,-0.8422199487686157,5029
8,41831,1.0408315658569336,0.9510372281074524,-14.002432823181152,0.0031557618640363216,5.665470600128174,-9.0,9.0,13.272749900817871,10.669737815856934,1.4804035425186157,-0.8911541104316711,5030
9,41831,1.0337163209915161,1.0125728845596313,-15.128152847290039,0.003155367448925972,6.314813613891602,-9.0,9.0,14.087124824523926,11.418201446533203,1.5210992097854614,-0.8632717728614807,5031
10,41831,1.1077110767364502,1.2440917491912842,-15.967554092407227,0.003155614249408245,12.471970558166504,-9.0,9.0,14.927382469177246,11.015254020690918,1.5623658895492554,-0.8813910484313965,5032
11,41831,0.6345427632331848,0.7789959907531738,-15.702698707580566,0.0031563546508550644,22.387022018432617,-9.0,9.0,14.866649627685547,10.851090431213379,1.698981523513794,-0.8851398825645447,5033
12,41831,0.6460728049278259,0.6313177347183228,-15.338054656982422,0.0031574866734445095,17.556354522705078,-9.0,9.0,14.871160507202148,10.700462341308594,1.6403833627700806,-0.8838280439376831,5034
13,41831,0.6699178218841553,0.6333414316177368,-14.664875984191895,0.003158933948725462,27.478511810302734,-9.0,9.0,14.411662101745605,11.201408386230469,1.779034972190857,-0.8857601284980774,5035
14,41831,0.8097425699234009,0.7191901803016663,-14.315353393554688,0.0031606394331902266,18.891738891601562,-9.0,9.0,14.232593536376953,11.08692741394043,1.6432007551193237,-0.8965514302253723,5036
15,41831,0.6757439970970154,0.791374683380127,-13.693899154663086,0.003162561682984233,22.361440658569336,-9.0,9.0,13.499187469482422,10.551993370056152,1.715350866317749,-0.8899475932121277,5037
16,41831,0.6279393434524536,0.722846508026123,-14.933565139770508,0.0031646646093577147,36.902706146240234,-9.0,9.0,14.457611083984375,10.920204162597656,1.8686593770980835,-0.9080505967140198,5038
17,41831,0.6547017693519592,0.6001639366149902,-16.588626861572266,0.003166919806972146,28.57942008972168,-9.0,9.0,15.779794692993164,11.511984825134277,1.8177434206008911,-0.8960903286933899,5039
18,41831,0.6092755794525146,0.5663697123527527,-16.3566837310791,0.0031693067867308855,42.13292694091797,-9.0,9.0,15.250965118408203,10.729300498962402,1.9635425806045532,-0.9076970219612122,5040
19,41831,0.627840518951416,0.6904359459877014,-15.938350677490234,0.0031718057580292225,48.75810241699219,-9.0,9.0,14.585237503051758,11.029521942138672,2.0366594791412354,-0.9306693077087402,5041
20,41831,0.5578250288963318,0.6711778044700623,-15.577751159667969,0.0031744022853672504,54.22089385986328,-9.0,9.0,14.321207046508789,10.995166778564453,2.1122748851776123,-0.9378705024719238,5042
21,41831,1.8350517749786377,1.7026864290237427,-15.43586540222168,0.00317708239890635,52.60764694213867,-9.0,9.0,14.21129035949707,10.917430877685547,2.0887067317962646,-0.9286450147628784,5043
22,41831,0.5593584179878235,0.47570064663887024,-16.143089294433594,0.0031798379495739937,59.86255645751953,-9.0,9.0,15.247786521911621,11.239895820617676,2.191236972808838,-0.9505475759506226,5044
23,41831,0.5346433520317078,0.5459310412406921,-15.341951370239258,0.0031826577614992857,78.43807220458984,-9.0,9.0,14.424333572387695,11.103095054626465,2.4314990043640137,-0.9764042496681213,5045
24,41831,0.5890340805053711,0.582141637802124,-14.63371467590332,0.0031855334527790546,91.10507202148438,-9.0,9.0,13.740560531616211,10.623746871948242,2.5575499534606934,-0.9771581292152405,5046
25,41831,0.47586187720298767,0.44972094893455505,-15.586241722106934,0.0031884589698165655,91.78060913085938,-9.0,9.0,14.802000999450684,11.413270950317383,2.5876431465148926,-0.9901008605957031,5047
26,41831,0.46857357025146484,0.4812488555908203,-15.022422790527344,0.0031914296559989452,106.84822082519531,-9.0,9.0,14.224785804748535,11.204805374145508,2.758756637573242,-1.0039232969284058,5048
27,41831,0.442866712808609,0.3763244152069092,-16.29572296142578,0.0031944396905601025,106.90058898925781,-9.0,9.0,15.240878105163574,11.47231674194336,2.7641727924346924,-1.0094341039657593,5049
28,41831,0.4063601791858673,0.40891894698143005,-15.76340389251709,0.003197484416887164,120.32842254638672,-9.0,9.0,14.802200317382812,11.317952156066895,2.938232660293579,-1.0058199167251587,5050
29,41831,0.42577531933784485,0.551280677318573,-15.772790908813477,0.0032005596440285444,130.53282165527344,-9.0,9.0,14.794894218444824,10.844950675964355,3.053133249282837,-1.011074185371399,5051
30,41831,0.42298126220703125,0.486815869808197,-15.234655380249023,0.003203662345185876,154.6487274169922,-9.0,9.0,14.173107147216797,10.889937400817871,3.3345348834991455,-1.0493162870407104,5052
31,41831,0.34131523966789246,0.36413276195526123,-16.36374282836914,0.003206790890544653,144.51031494140625,-9.0,9.0,15.51828670501709,11.323775291442871,3.2438666820526123,-1.0256325006484985,5053
32,41831,0.25495725870132446,0.259320467710495,-16.243938446044922,0.003209940856322646,145.04168701171875,-9.0,9.0,15.466754913330078,11.137606620788574,3.2392539978027344,-0.9979540109634399,5054
33,41831,0.2262408584356308,0.2775019109249115,-15.806448936462402,0.0032131108455359936,159.96241760253906,-9.0,9.0,15.026369094848633,11.046753883361816,3.443310499191284,-1.0044443607330322,5055
34,41831,0.3261198401451111,0.33330783247947693,-14.73882007598877,0.0032162992283701897,180.93743896484375,-9.0,9.0,13.967378616333008,11.095635414123535,3.7269465923309326,-0.9874267578125,5056
35,41831,0.23770317435264587,0.24735938012599945,-14.296037673950195,0.003219502978026867,191.74407958984375,-9.0,9.0,13.477787971496582,10.698274612426758,3.8898472785949707,-0.9709358811378479,5057
36,41831,0.45896825194358826,0.4124261736869812,-14.684943199157715,0.003222722327336669,179.61842346191406,-9.0,9.0,13.811113357543945,11.05376148223877,3.7610371112823486,-0.9400519132614136,5058
